artista,oyentes,reproducciones,bio_resumen,pais
Jimmy Somerville,149610,1088249,"Jimmy Somerville (b. June 22, 1961) is a Scottish pop singer. Was a star in the 80's with Bronski Beat and The Communards as well as while working solo.

Born and raised in Glasgow with his signature falsetto singing style, he happens to also be a left-wing human rights activist.

He went solo when the Communards split up in 1988. <a href=""https://www.last.fm/music/Jimmy+Somerville"">Read more on Last.fm</a>",
Los Calzones,19175,195812,"Los Calzones (the underpants) from Argentina is a a Ska / Rock group which is a follow-up to Los Calzones Rotos (the ragged underpants) started out in Buenos Aires in 1988. Inspired by the like of Madness, Bad Manners, The Specials, The Skatalites and The Selecter at a time when ska was out of fashion.

Nevertheless, the group went on and founded their own label to show their independence. Halfway through1991, Los Calzones Rotos, their debut, appeared <a href=""https://www.last.fm/music/Los+Calzones"">Read more on Last.fm</a>",
Kevin Lyttle,365550,2091942,"Kevin Lyttle (born Lescott Kevin Lyttle Coombs, on 14 September 1976) is a soca artist hailing from Saint Vincent, who had a worldwide hit with the interpellative soca ballad, ""Turn Me On"" which was recorded by Lyttle and the ragga soca artist Spragga Benz. The song was originally done by the rhythm and a blues group

Lyttle recorded ""Turn Me On"" in Saint Vincent and the Grenadines in 2001. His strong live performances of soca influenced by hip hop and r&b made the song a hit throughout the Caribbean. <a href=""https://www.last.fm/music/Kevin+Lyttle"">Read more on Last.fm</a>",
High Tone,133079,2548457,"High Tone was formed in the year 1997 in the city of Lyon, France. The idea and leitmotiv of the musicians were to mix the traditional dub music with their others musical influences such as drum'n'bass, hip-hop or Oriental music. They also mixed up the instruments: using turntables and samples as well as the more traditional guitar, drums and bass-guitar.

After a few self produced vinyl EPs -Bot Bud Seasons (1997) and Low Tone (1998)- High Tone signed at the label Jarring Effects. <a href=""https://www.last.fm/music/High+Tone"">Read more on Last.fm</a>",
Ganja,14120,154049,"There are currently three artists with this name

1. A  Mexican Reggae Group.
Ganja is a Mexican reggae band, originally from Mexico City, who was born in late 1995 as one of the pioneering bands banda in Mexican reggae movement with Splash, Rakes, The Commune and Antidoping. It has musical influences with Salsa, Merengue, Jazz and Blues, but has always been distinguished for its reggae. He participated in the last four editions of Razteca Festival, the largest reggae in the country. <a href=""https://www.last.fm/music/Ganja"">Read more on Last.fm</a>",Mexico
Banda Eva,189341,2995755,"The EVA (or group known as Banda EVA) is a band of Bahian axé music that has had great success during the 1990s, under the voice of Ivete Sangalo.  After Sangalo left for a solo career, lead vocals were taken by Emanuelle Araújo, then Saulo Fernandes, and most recently Felipe Pezzoni. 

Banda EVA emerged from a carnaval troupe.  At the end of the 1970s, a group of friends, members of the Marist College community of Salvador, met every week-end to chat and sing. <a href=""https://www.last.fm/music/Banda+Eva"">Read more on Last.fm</a>",
311,1620619,38907511,"311 was formed in 1990 in Omaha, Nebraska, by singer/guitarist Nick Hexum, singer S.A. Martinez, guitarist Tim Mahoney, drummer Chad Sexton and bassist P-Nut. The band now resides in Los Angeles, California.
 
311 mix rock, rap, reggae and funk into their own unique sound. After years of consistent touring, 311 have developed a reputation as one of the hardest working, most influential and most entertaining live bands in the U.S.
 
311 have released ten studio albums <a href=""https://www.last.fm/music/311"">Read more on Last.fm</a>",
É O Tchan,155941,1405064,"É o Tchan! (not to be confused with the ghettotech producer/DJ ""tchan"") is a popular axé music group from Salvador, Brasil.

Originally called Gera Samba, they exploded onto the scene with their hit single 'Segura o Tchan'. Their first album, called É o Tchan (1995), sold into triple platinum.

After legal problems, the name of the band changed from Gera Samba to É o Tchan and with this name, they released the album 'Na Cabeça e na Cintura' [In the Head and In the Waist]. <a href=""https://www.last.fm/music/+noredirect/%C3%89+O+Tchan"">Read more on Last.fm</a>",
Sean Paul,2975669,45013425,"Sean Paul Ryan Francis Henriques (born January 9, 1973 in Kingston, Jamaica) is a Grammy Award winning reggae and dancehall singer and rapper. He released his debut solo album, Stage One, in 2000 and followed this in 2002 with Dutty Rock, which won the 2004 Grammy Award for best reggae album and generated four top twenty Billboard Hot 100 hits, including #1 'Get Busy'. His new cd, Tomahawk Technique, was released in February 2012 and has generated another hit ""She Doesn't Mind"". <a href=""https://www.last.fm/music/Sean+Paul"">Read more on Last.fm</a>",
Terra Samba,60372,357177,"Terra Samba is a brazilian Sambareggae group from Salvador da Bahia. In 1998 they quickly captured the hearts of the brazilian people with their mega hit ""Liberar Geral"". Typical for their music is its brazilian and carribean rhythm. A few more famous songs include ""Deus é Brasileiro"", ""Na Manteiga"", ""Banho De Chuveiro"" and ""Carrinho De Mão"".

The band consists of members Mário Ornellas and Edson Souza, both former percussionists of the popular band Gerasamba. <a href=""https://www.last.fm/music/Terra+Samba"">Read more on Last.fm</a>",Brazil
Jazz Jamaica All Stars,12871,86604,"In 1991, inspired by the rhythms of traditional Jamaican music and the largely improvisational nature of jazz, original Jazz Warrior, and veteran jazz double bassist, Gary Crosby turned a musical concept into a joyful reality.

Gary’s concept was to create a quintessential fusion of mento, ska, reggae and jazz, playing classic and modern jazz standards alongside Jamaican folksongs. To achieve this, he gathered together a group of musicians drawn from the jazz and reggae circuits, each of whom is a distinguished musician in his own right. <a href=""https://www.last.fm/music/Jazz+Jamaica+All+Stars"">Read more on Last.fm</a>",Jamaica
Sizzla,486307,6183342,"Sizzla Kalonji (real name Miguel Orlando Collins) is a Jamaican reggae musician. He was born on 17 April 1976, in St Mary, Jamaica, of devout Rastafari parents and raised in August Town. He is unusually prolific, even by Jamaican standards.  Sizzla has worked with such artists as Mobb Deep.

Sizzla, along with reggae recording artists such as Capleton, Buju Banton, and Anthony B, are credited with leading a movement toward a re-embracement of Rastafarian <a href=""https://www.last.fm/music/Sizzla"">Read more on Last.fm</a>",Jamaica
Planta e Raiz,119488,2082392,"Planta e Raiz é um grande nome do reggae nacional. Formada em 98 começou a carreira apresentando-se na capital e no litoral paulista tocando covers de Bob Marley, Gilberto Gil e Edson Gomes. O primeiro álbum, Que Brota da Terra, alavancou o nome da banda e os levou a se apresentar ao lado de grandes nomes do reggae. Seu segundo álbum, Esse é o Remédio, foi um grande sucesso, as músicas Com Certeza e Aquele Lugar, obtiveram os primeiros lugares nas principais rádios do segmento jovem. <a href=""https://www.last.fm/music/Planta+e+Raiz"">Read more on Last.fm</a>",
Capleton,379631,3401487,"King Shango, King David, The Fireman and The Prophet.

A wise man once said that a prophet is not without honour save in his own country and so it has been with Capleton. While the veteran DJ's words and works long ago earned him the title of ""The Prophet"", the respect and honor that should rightfully be his have been a long time coming. ""Anytime you try to uplift righteousness and upliftment of the people them, then you ah go get a fight"", says the hottest entertainer in the worldwide reggae fraternity. <a href=""https://www.last.fm/music/Capleton"">Read more on Last.fm</a>",
Jennifer Lara,53974,415078,"Jennifer Lara recorded at Coxsone Dodd's famed Studio One studio for most of her career and released her own album in the 70s entitled 'Studio One Presents Jennifer Lara' (pictured left).

It is reported that her last song - 'Ordinary People' (a duet with Dalton Browne) - was recorded at Studio One just two weeks ago and she toured recently as a backing vocalist with The Ethiopians.

During her over 35 year association with the studio, Jennifer Lara added backing vocals to the songs of some of the camp's biggest names <a href=""https://www.last.fm/music/Jennifer+Lara"">Read more on Last.fm</a>",
Banda Calypso,158364,8407703,"Banda Calypso was a Brazilian brega pop band formed in Belém, Pará, Brazil in 1999. The band was composed by Joelma da Silva Mendes and producer/guitarist Cledivan Almeida Farias, better known as Chimbinha.

The band achieved unbelievable success in the early 2000s and became a leader in CD and DVD sales, with approximately 15 million albums and over 5 million DVDs distributed in Brazil, making it one of the record-breaking bands of the country in sales. 
 <a href=""https://www.last.fm/music/Banda+Calypso"">Read more on Last.fm</a>",Brazil
Chulito Camacho,8761,88244,"osué Luque Chulito Camacho es uno de los máximos exponentes del creciente movimiento dancehall reggae de nuestro país. A su prolífica labor como compositor y productor de ritmos se le suma su conocida originalidad como letrista y dj , que es el nombre que reciben los cantantes de este tipo reggae de la pista de baile que se emparenta con un estilo cercano al rap por la rapidez de sus ritmos y la temática urbana de sus líricas.

Todo lo que podemos <a href=""https://www.last.fm/music/Chulito+Camacho"">Read more on Last.fm</a>",
Skalariak,84993,1465762,"Skalariak is a band from the Basque Country founded in 1994 by Juantxo Skalari and Peio Skalari. As indicated in the name, Skalariak plays Ska. In most of their songs they play solid Ska, sometimes with influences from Reggae, Punk or Latin music. Skalariak also spreads a political message against globalization and capitalism in their songs. Their lyrics are in Spanish and Basque. <a href=""https://www.last.fm/music/Skalariak"">Read more on Last.fm</a>",Spain
Tiken Jah Fakoly,159948,2344950,"Tiken Jah Fakoly (1968) is a reggae singer from Odienné, Côte d’Ivoire (a.k.a Ivory Coast).

Tiken Jah was born into a family of griots and christened Doumbia Moussa Fakoly on June 23, 1968 in Odienne, north-western Côte d'Ivoire. He discovered reggae at an early age, assembling his first group, Djelys, in 1987. He became well-known at a regional level, but would soon ascend to national recognition.

Concerned by the social and political evolution of his country <a href=""https://www.last.fm/music/Tiken+Jah+Fakoly"">Read more on Last.fm</a>",
Sergent Garcia,168324,1175164,"Sergent Garcia is the group formed around the French singer Bruno Garcia, a former guitarist of punk band Ludwig Von 88.

Sergent Garcia mixes reggae, salsa, raggamuffin, rock and other trends in a new style he defines as the salsamuffin.

In 2011, he released his sixth studio album, Una y otra vez (Cumbancha / The Gwagwita), recorded in France, Spain, Cuba and Colombia.

Together with Colectivo Iye Ife, Sergent Garcia started a world tour that began in Paris in March 2011 and made appearances in through Europe <a href=""https://www.last.fm/music/Sergent+Garcia"">Read more on Last.fm</a>",France
Ivete Sangalo,459711,15159080,"Ivete Maria Dias de Sangalo (born May 27, 1972 in Juazeiro, Bahia) is a Latin Grammy Award-winning Brazilian singer, songwriter, television show host and occasional actress. She is currently one of the most popular and best-selling Brazilian female singers, with six albums released with Banda Eva, and eight studio albums in her solo career, with a total of over 12 million albums sold worldwide. Sangalo is most often recognized by her powerful voice, charisma and live performances. <a href=""https://www.last.fm/music/Ivete+Sangalo"">Read more on Last.fm</a>",Brazil
La Tremenda Korte,11877,178094,"La Tremenda Korte, homologo del popular programa de la radio Cubana con su clasico personaje Tres Patines, es uno de los grupos mas solidos y duraderos que salieron del movimiento Ska chilango de los años 90. Con el tiempo han madurado como musicos...a tal grado que la exclusiva disquera ""Opcion"" les produjo este album y tambien han participado en importantes festivales culturales come el Afrocaribeno Veracruz 2001. Aun pretenden mantener la enigma de ser banda del underground. <a href=""https://www.last.fm/music/La+Tremenda+Korte"">Read more on Last.fm</a>",
Errol Dunkley,79759,391652,"Errol Dunkley is a Jamaican reggae singer, born in Kingston in 1951. Dunkley's recording career began in 1965, when he was fourteen, with ""Gypsy"" (a duet with Roy Shirley) for Lindel Pottinger's Gaydisc label, ""My Queen"" (with Junior English) for Prince Buster, and ""Love Me Forever"" on the Rio label [1]. Between 1967 and 1968 he recorded several singles for Joe Gibbs including ""Please Stop Your Lying"" (1967) and ""Love Brother"" (1968), before switching to Coxsone Dodd in 1969.[2] <a href=""https://www.last.fm/music/Errol+Dunkley"">Read more on Last.fm</a>",Jamaica
Cornell Campbell,171266,1057802,"Cornell, or Cornel, Campbell started recording in 1956, cutting shuffle and early ska tunes like ""My Treasure"" and ""Don't Want Your Loving"" at the ubiquitous Studio One for Coxsone Dodd. His singing style is delicate and ephemeral, making heavy use of falsetto. His stint at Studio One produced some beautiful tunes like Stars, Queen Of The Minstrels, Magic Spell, Trick In The Book and many others. His sister, Cecille Campbell, also sang at Studio One and was a member of the Soulettes with Rita Marley. <a href=""https://www.last.fm/music/Cornell+Campbell"">Read more on Last.fm</a>",
Intoxicados,121566,3530837,"Banda de Cristian 'el Pity' Alvarez, formada al finalizar Viejas Locas. Mas alla del Rock Stone caracteristico, tambien exploran en el hip-hop, reggae o con bases electronicas <a href=""https://www.last.fm/music/Intoxicados"">Read more on Last.fm</a>",
Mad Caddies,393930,12538361,"The Mad Caddies are a ska punk band from Goleta/Santa Barbara/Solvang, USA. The band formed in 1995 and has released five full-length albums, one live album, and two EP's. Their sound has influences from a wide range of genres, including ska, punk, hardcore, swing, reggae and jazz.

Founding members Chuck Robertson, Sascha Lazor, Todd Rosenberg, Carter Benson and James Malis started the group in high school but the band's membership has changed frequently since its inception. <a href=""https://www.last.fm/music/Mad+Caddies"">Read more on Last.fm</a>",
Dandy,50726,219746,"For the Jamaican artist see Dandy Livingstone and correct your ID3/tags.

There are multiple artists with this name:

1) Hip Hop artist from Mykolaiv, Ukraine signed on 8 BIT.

2) House music DJ from São Paulo, Brazil signed on Fire Beats Records.

3) Atlanta, GA-based rapper affiliated with http://www.last.fm/label/Mannyo. Stylized as DANDY, DANDY creates heavy, pounding club rap mixing everything together from southern trap to sailor moon transformations. <a href=""https://www.last.fm/music/Dandy"">Read more on Last.fm</a>",Jamaica
The Pioneers,181272,1226878,"The Pioneers are a Jamaican reggae vocal trio, whose main period of success was in the 1960s. The trio has had different line-ups, and still occasionally performs.
The Pioneers were formed in 1962 by brothers Sydney and Derrick Crooks, and their friend Winston Hewitt. Their early recordings ""Good Nanny"" and ""I'll Never Come Running Back to You"" were self-produced at the Treasure Isle studio using money lent to the Crooks brothers by their mother and appeared on Ken Lack's Caltone label. <a href=""https://www.last.fm/music/The+Pioneers"">Read more on Last.fm</a>",Jamaica
Greyhound,41196,258681,"There are at least five artists called Greyhound.  
1) A Reggae band that had hits in the late 60's and early 70's on the Trojan Record Label.  Hits included Black and White, Sky High, I Am What I Am, Dream Lover and more. 
Greyhound was originally formed by Danny Smith and Freddie Notes & The Rudies in the late 1960s and released tracks under a variety of names, including the Rudies, the Tilermen and Des All Stars, before settling on the Greyhound name. <a href=""https://www.last.fm/music/Greyhound"">Read more on Last.fm</a>",
Culture,339706,3024558,"There are at least two artists that have used this name:
1. A roots reggae band from Jamaica
2. A straight edge metalcore band from Florida, US

1. Culture was a Jamaican roots reggae group founded in 1976. Originally they were known as the African Disciples.

The members of the trio were Joseph Hill (lead vocals), Albert Walker (backing vocals) and Kenneth Dayes (backing vocals).

Shortly after Culture came together, they began working with the ""Mighty Two"" – producer Joe Gibbs and engineer Errol Thompson. <a href=""https://www.last.fm/music/Culture"">Read more on Last.fm</a>",Jamaica
Buju Banton,479809,4663411,"Buju Banton (born Mark Myrie 1973) is a Jamaican dancehall, ragga, and reggae singer. He was born in a slum near Kingston, Jamaica called Salt Lane. ""Buju"" is a nickname  which is of  Breadfruit. The name is ironic in light of Mark Myrie's slim frame and large head, but it is, nevertheless, the nickname his mother gave him as a child. ""Banton"" is a Jamaican word referring to someone with a superior attitude and a gift with speech, but it was also the name of a local artist Burro Banton that Buju admired as a child. <a href=""https://www.last.fm/music/Buju+Banton"">Read more on Last.fm</a>",Jamaica
The Aggrolites,133203,3001957,"The Aggrolites are a reggae band from Los Angeles, California. The Aggrolites are an amalgamation of two previous Los Angeles reggae and ska bands, the Vessels and the Rhythm Doctors, and were originally formed in 2002 as an in-concert backing band for reggae icon Derrick Morgan. The band were asked to record music for a new album for Morgan, and though the actual project was never released, the recording sessions inspired the Aggrolites to become a permanent band. <a href=""https://www.last.fm/music/The+Aggrolites"">Read more on Last.fm</a>",
Sugar Minott,214215,1489020,"Sugar Minott (born Lincoln Barrington Minott, May 25, 1956 in Kingston, died Saturday July 10, 2010 in Kingston) was a Jamaican reggae singer, producer and sound-system operator known for his sweet roots dancehall style.

Sugar Minott spent his youth hanging around the legendary ""Studio 1"" listening to the artists that recorded there, such as Alton Ellis, Ken Boothe, The Heptones, Dennis Brown and others.

Sugar began his career with the formation of the African Brothers <a href=""https://www.last.fm/music/Sugar+Minott"">Read more on Last.fm</a>",Jamaica
Nina Sky,382456,1885407,"Natalie and Nicole Albino (born in New York City) are identical twin sisters who sing under the name ""Nina Sky"". They are half-Puerto Rican and half-Dominican.

Their parents moved from Puerto Rico and were divorced when the girls were very young. The twins' mother remarried with a DJ, who also happened to be Puerto Rican. They grew up in the Queens and Roosevelt Island sections of New York.

Since their stepfather worked as a DJ, the twins were influenced by different types of music. <a href=""https://www.last.fm/music/Nina+Sky"">Read more on Last.fm</a>",
Gregory Isaacs,648270,6314331,"Gregory Anthony Isaacs ⋆ 15 July 1951 in Kingston, Jamaica ⋆ 25 Oct 2010 in London UK ⋆ was a Jamaican singer and songwriter. He recorded an enormous amount of songs in the genres (regular) reggae, lovers rock, roots reggae. His nickname was the Cool Ruler. By the late 1970s, Isaacs was one of the biggest reggae performers, regularly touring the US and the UK. Well-known songs are Night Nurse, Mr Cop, My Only Lover, Tune In, and Love Is Overdue. <a href=""https://www.last.fm/music/Gregory+Isaacs"">Read more on Last.fm</a>",Jamaica
Manu Chao,1947355,60069025,"Manu Chao, born José-Manuel Thomas Arthur Chao on June 21, 1961, in Paris, France, is a multifaceted musician celebrated for his eclectic musical style and socially conscious lyrics. Chao's musical journey began in the vibrant Parisian music scene, where he immersed himself in diverse influences ranging from punk and rock to reggae and salsa. Co-founding the band Mano Negra in 1987, Chao showcased his knack for blending genres, resulting in international acclaim with albums like ""Patchanka"" (1988) and ""Casa Babylon"" (1994). <a href=""https://www.last.fm/music/Manu+Chao"">Read more on Last.fm</a>",
Banda Bassotti,47094,1064622,"Punk and Ska band from Italy. Their songs are generally rational in nature, focusing on socialism, internationalism and atheism issues. its music can to remind The Clash, Angelic Upstarts, Red London, Hard Skin, The Selecter or Madness.

Banda Bassotti was formed in 1988, by a group of politically active musicians who began to sympathize with the Nicaraguan, Salvadorean, Palestinian, and Basque people fights. This group of friends supports the Frente Sandinista de Liberacion Nacional with solidarity initiatives by creating some work brigades. <a href=""https://www.last.fm/music/Banda+Bassotti"">Read more on Last.fm</a>",
Burning Spear,532849,6146803,"Winston Rodney (born March 1, 1945), also known as Burning Spear, is a Jamaican roots reggae singer and musician. Like many famous Jamaican reggae artists, Burning Spear is known for his Rastafari movement messages.
Rodney was born in Saint Ann's Bay, St. Ann, Jamaica, as were Bob Marley and Marcus Garvey; who both had a great influence on Rodney's life. Garvey in his philosophy, which Burning Spear greatly took to, and Marley in directly helping Burning Spear get started in the music industry. <a href=""https://www.last.fm/music/Burning+Spear"">Read more on Last.fm</a>",Jamaica
Talco,80750,3256985,"Note: There are two different bands named Talco.
Talco's (Italy) project starts off within December 1999 and January 2000 as a politic ska-core band composed of Tomaso (vocals + guitar), Daniele (guitar) and Nicola (drums). During their first period Rocco (guitar) takes over in while Daniele begins to play bass: the most important arrival is, though, the one of Riccardo at the trumpet. With him the band starts playing around, starting with a ska festival, in Lugo di Romagna (Ravenna. <a href=""https://www.last.fm/music/Talco"">Read more on Last.fm</a>",
Aswad,292261,2165227,"Aswad (""Black"" in Arabic) is a long-lasting British reggae group, noted for adding strong R&B, soul, and soca influences to the reggae sound. They have been performing since the early 1970s, and have released a total of twenty-one albums.

As naturalised children of immigrants from the Caribbean, part of the aftermath of World War II, the children were moved to London. They attended a local high school near Ladbroke Grove, and various junior schools as Tan Tan children of immigrants from the Caribbean around West London in 1975. <a href=""https://www.last.fm/music/Aswad"">Read more on Last.fm</a>",United Kingdom
Tanya Stephens,162278,1475346,"Tanya Stephens (July 2, 1973) born Kingston, Jamaica, is a one of the most influential female Jamaican reggae artists that emerged in the late 1990s. Stephens is most known for her hit ""Yuh Nuh Ready fi Dis Yet."" The single was later featured on the Reggae Gold 1997 compilation album. <a href=""https://www.last.fm/music/Tanya+Stephens"">Read more on Last.fm</a>",Jamaica
Mallacán,480,8891,"Mallacán is an Aragonese rock band that sings in Aragonese language. Formed in 1992, their first recording was a 1995 Demo-tape titled ""Entalto a reboluzión!"" (Up the revolution!) and since them they have released 3 albums: ""Luen d'o paradiso"" (Far from paradise) in 1999, ""Chera chera!"" (Bonfire bonfire! an expression used in Aragonese Pyrenees to stoke fire up) in 2002 and ""País zierzo"" (Refers to Aragón) in 2005

Mallacán's music is a fusion of Rock, Folk, Ska and Reggae <a href=""https://www.last.fm/music/+noredirect/Mallac%C3%A1n"">Read more on Last.fm</a>",
Elephant Man,268044,2241510,"Two artists go under the name Elephant Man:

1) Elephant Man (born September 11, 1976 as O'Neil Bryant in Kingston, Jamaica, also known as The Energy God) is one of the most colorful characters on the dancehall scene.

His stagename stemmed from his large ears, which led to the nickname Dumbo in his youth. ""Ele"" started out his musical career as a member of the Scare Dem Crew, later continuing as a solo artist. He was later characterized for several trademarks <a href=""https://www.last.fm/music/Elephant+Man"">Read more on Last.fm</a>",
The Mighty Mighty Bosstones,737589,13179483,"The Mighty Mighty Bosstones were a ska punk band from Boston, Massachusetts, United States (Bosstones is a play on Boston). Their last lineup was Dicky Barrett (vocals), Joe Gittleman (bass), Lawrence Katz (guitar), Ben Carr (dancer, ""Bosstone""), Joe Sirois (drums), Timothy ""Johnny Vegas"" Burton (saxophone), Kevin Leaner (saxophone) and Chris Rhodes (trombone)

Formed in 1985, The Mighty Mighty Bosstones started playing in Boston clubs in the mid-1980s. <a href=""https://www.last.fm/music/The+Mighty+Mighty+Bosstones"">Read more on Last.fm</a>",
The Limp Twins,136255,998008,"The Limp Twins are Will Holland (a.k.a quantic) and Russell Porter, who created their album tales from beyond the groove (TRUCD057, 2003) in their bedrooms (according to the cd cover). The record is a funky offering somewhere in between the sound of Will Holland's other projects, quantic and the quantic soul orchestra, but is definately more laid back. 

For more information on this project, check out quantic's website: about The Limp Twins. <a href=""https://www.last.fm/music/The+Limp+Twins"">Read more on Last.fm</a>",
Third World,244231,1688193,"Third World is a Jamaican reggae group consisting of William 'Bunny Rugs' Clark (vocals), Steven 'Cat' Coore (guitar, cello, harmonica, vocals), Richard 'Richie' Daley (bass, vocals), Herbert Harris (Keyboard), and Tony Williams (drummer).

They were formed in 1973 and are still releasing records today.  Their lineup has changed over the years, as has their musical style, although it has not strayed too far from the ""roots reggae"" style that they are generally categorized as. <a href=""https://www.last.fm/music/Third+World"">Read more on Last.fm</a>",Jamaica
Cypress Hill,2233483,53026725,"Cypress Hill is an American hip-hop group from South Gate, California. Cypress Hill was the first latino group to have platinum and multi-platinum albums and one of the first rap groups to gain a following with fans of hard rock and metal. The band was originally called DVX, but the name was changed after Mellow Man Ace left in 1988.

Their first album, which was self-titled, was released in August 1991. Its single was ""Phuncky Feel One"", but it was <a href=""https://www.last.fm/music/Cypress+Hill"">Read more on Last.fm</a>",United States
Hepcat,102463,1389421,"Hepcat are a third wave ska band formed in southern California in 1989.

Their soulful harmonies and mellow rhythms were unlike those of contemporaries and more akin to musicians from the heyday of 1960s Jamaican ska, also referred to as the first wave.

Hepcat's debut album, ""Out of Nowhere"" was released in 1994 on New York-based ska label Moon Records. Two years later, they followed it up with ""Scientific"" on BYO Records. In 1998, after signing with Epitaph Records subsidiary HellCat Records <a href=""https://www.last.fm/music/Hepcat"">Read more on Last.fm</a>",Jamaica
Dr. Calypso,20489,215300,"Dr. Calypso és un grup barceloní d'ska fundat el 1989.

Després de grabar sa primera maqueta al 1990, han editat quatre àlbums d'estudi, un doble CD en directe i dos recopilatoris. Early Years (2004) està dedicat als seus primers anys, i en ell es troba sa maqueta, per primera vegada disponible en CD. The Best of Dr. Calypso (Groover, 2004) és un recopilatori exclusiu per a sa distribució a Europa.

Són molt coneguts dins del circuit de música jamaicana internacional <a href=""https://www.last.fm/music/Dr.+Calypso"">Read more on Last.fm</a>",
Dr. Ring Ding,12360,133455,"
Dr. Ring-Ding a.k.a. Richie Senior was born in 1970 in Münster, Germany to a multi-cultural and musical household. His introduction to music began with singing along with his family and learning the recorder (deathly boring) but he soon switched to more interesting instruments such as the trombone. From 1987 on he played in the horn section of El Bosso & die Ping Pongs, one of Germany‘s most famous Ska bands and the only one of its time which sang in German. From this experience he came to love Jamaican music. <a href=""https://www.last.fm/music/Dr.+Ring+Ding"">Read more on Last.fm</a>",Jamaica
The Skatalites,371046,5275481,"The Skatalites are a Jamaican music group that played a major role in popularising ska, the first truly Jamaican music created by fusing boogie-woogie blues, rhythm and blues, jazz, mento, calypso, and African rhythms. They recorded many of their best known songs, including Guns of Navarone, in the period between 1964 and 1965, as well as played on records by Prince Buster and many other Jamaican artists.

The founding members of the group were Tommy McCook <a href=""https://www.last.fm/music/The+Skatalites"">Read more on Last.fm</a>",Jamaica
Anthony B,338756,3328304,"Anthony B is the stage name of Keith Blair (born March 31, 1976), a Jamaican musician.

Blair grew up in rural Clarks Town in the northwestern parish of Trelawny. His deeply religious family life (his mother was a Seventh-day Adventist and his grandmother a Revivalist) imbued him with a profound spirituality. During his youth, his favorite singers were reggae legends Bob Marley, Peter Tosh, and Bunny Wailer, musicians who strongly influenced his own style. <a href=""https://www.last.fm/music/Anthony+B"">Read more on Last.fm</a>",Jamaica
Dandy Livingstone,165862,932424,"Dandy Livingstone (Robert Livingstone Thompson, Kingston, Jamaica, 14 December 1943) is a Jamaican reggae musician and producer

He is best known for his 1972 hit, ""Suzanne Beware of the Devil"", and for his song, ""Rudy, A Message to You"", which was later a hit for The Specials. ""Suzanne Beware of the Devil"", reached number 14 on the UK Singles Chart.

At the age of 15, Livingstone moved to the United Kingdom. Livingstone's first record was released <a href=""https://www.last.fm/music/Dandy+Livingstone"">Read more on Last.fm</a>",Jamaica
Glen Adams,26256,112667,"Glen Adams (b. Glenroy Phillip Adams, 1950) is a Jamaican musician, composer, arranger, engineer, producer, based since the mid-1970s in Brooklyn, New York.

Adams' first break in the music business came as a teenager when he appeared as a singer on Radio Jamaica's Opportunity Knocks show hosted by Vere Johns, and he began performing in Kingston and St. Andrews at weekends. He made his first record, ""Wonderthirst"", in 1960 for Coxsone Dodd at Federal Recording Studio, the title of the song becoming his nickname. <a href=""https://www.last.fm/music/Glen+Adams"">Read more on Last.fm</a>",Jamaica
Rupee,111917,695128,"Rupert Clarke (born September 10, 1975), best known by his stage name Rupee, is a soca musician from Barbados. He was born in military barracks in Germany to a German mother and a Barbadian father, who was serving in the British armed forces at the time. He is signed to Atlantic Records. <a href=""https://www.last.fm/music/Rupee"">Read more on Last.fm</a>",Germany
Tanto Metro & Devonte,61904,327200,"Tanto Metro and Devonte, a major pioneering force of the dancehall movement, have been creating hits for almost a decade now. In the late '90s, they were able to pave the way for many reggae artists. They tapped into the international mainstream markets during a time when it was unheard of for a Jamaican artist to reach the charts outside of their home country. Tanto and Devonte's instant chemistry and talent led them beyond Jamaica and into the U. <a href=""https://www.last.fm/music/Tanto+Metro+&+Devonte"">Read more on Last.fm</a>",Jamaica
UB40,1401286,18143158,"UB40 is an English reggae and pop band, formed in December 1978 in Birmingham, England. The band has had more than 50 singles in the UK Singles Chart and has also achieved considerable international success. They have been nominated for the Grammy Award for Best Reggae Album four times and were nominated for the Brit Award for Best British Group in 1984. UB40 have sold more than 70 million records worldwide. The ethnic make-up of the band's original line-up was diverse <a href=""https://www.last.fm/music/UB40"">Read more on Last.fm</a>",United Kingdom
La Kinky Beat,68140,464930,"La Kinky Beat mixes reggae, drum'n'bass, rock, ska, punk, samba etc in its music. The band comes from Barcelona and uses not only Spanish but also Catalan, English and French in the lyrics'. Website: http://www.lakinkybeat.com <a href=""https://www.last.fm/music/La+Kinky+Beat"">Read more on Last.fm</a>",France
Skaparapid,8369,145400,"A ska band from Spain. Female lead voice and happy tunes that make everyone want to dance are the main points of Skaparapid.
www.skaparapid.net <a href=""https://www.last.fm/music/Skaparapid"">Read more on Last.fm</a>",
Quique Neira,27204,213532,"Quique Neira is a Chilean reggae roots singer. <a href=""https://www.last.fm/music/Quique+Neira"">Read more on Last.fm</a>",Chile
Lutan Fyah,177757,1513233,""" ... Rastafari livity means to tolerate and to live side by side with those of other faiths no matter which race, no matter which class. The purpose of Haile Selassie is to see that we become one in unity and love ... and that is my purpose."" Lutan Fyah 

Much, much more than a deejay, much more than a singer and more than a chanter too Lutan Fyah also plays guitar, keyboards and the kette drum. He holds strong beliefs in originality at all times and so he is a songwriter too and <a href=""https://www.last.fm/music/Lutan+Fyah"">Read more on Last.fm</a>",
