,artista,oyentes,reproducciones,bio_resumen,pais
58,Porcupine Tree,1074149,107276095,"Porcupine Tree is a British progressive rock band formed in Hemel Hempstead, Hertfordshire, United Kingdom in 1987. During the course of the band's history, it has at times incorporated psychedelic rock, alternative, ambient, electronic, and, most recently, metal and post-rock into its unique style of progressive rock. Since 2010, mainstay Steven Wilson has concentrated on his solo work. On November 1st, 2021, the band announced a new album and tour in the formation Gavin Harrison, Steven Wilson, and Richard Barbieri (without Colin Edwin). <a href=""https://www.last.fm/music/Porcupine+Tree"">Read more on Last.fm</a>",United Kingdom
59,Pepper,510394,8477612,"New self-titled Pepper album drops Fall 2013!! 

Facebook www.facebook.com/pepperlive; Twitter www.twitter.com/pepperlive; Instagram www.instagram.com/pepperlive

Kaleo Wassman – Vocals/Guitar
Bret Bollinger – Vocals/Bass
Yesod Williams – Drums

“It’s the hardest thing we’ve ever done as a band to make this record,” says guitarist/vocalist Kaleo Wassman of Pepper, in speaking on the recording process of their new self-titled album. “It <a href=""https://www.last.fm/music/Pepper"">Read more on Last.fm</a>",
60,Train,3264145,55570696,"Train is an American pop rock band from San Francisco that was formed in 1993. Since 2024, the band consists of Pat Monahan (lead vocals), Taylor Locke (guitar, vocals), Hector Maldonado (bass, vocals), Jerry Becker (keyboards, guitar), and Matt Musty (drums).

With a lineup that included original members Monahan, Rob Hotchkiss, Jimmy Stafford, Scott Underwood, and Charlie Colin, the band achieved mainstream success with their debut album Train. The album was released in 1998 with the hit ""Meet Virginia"". <a href=""https://www.last.fm/music/Train"">Read more on Last.fm</a>",United States
61,CÓMPLICES,36677,237054,"There are 2 bands sharing the same name:
1.)  80's punk band from Spain
2.)  90's pop-rock band from Spain

2.)'Cómplices' es un grupo músical clásico de los 90 y del pop-rock español creado en 1987 por Teo Cardalda y su pareja Maria Monsonis.

Después de dejar su anterior anterior agrupación (Golpes Bajos), Teo se une a su pareja Maria Monsonis, Tino DiGeraldo y Billy Villegas y juntos forman el grupo Cómplices; su primer trabajo discográfico <a href=""https://www.last.fm/music/+noredirect/C%C3%93MPLICES"">Read more on Last.fm</a>",
62,Bruce Springsteen,3429814,143749500,"Bruce Frederick Joseph Springsteen (born September 23, 1949) is an American rock singer, songwriter, and guitarist. Nicknamed ""the Boss"", he has released 21 studio albums during a career spanning six decades, most of which feature his backing band, the E Street Band. Springsteen is a pioneer of heartland rock, a genre combining mainstream rock music with poetic and socially conscious lyrics that feature narratives primarily concerning working class American life. <a href=""https://www.last.fm/music/Bruce+Springsteen"">Read more on Last.fm</a>",United States
63,Callejeros,68338,2625410,"Formada en Villa Celina, Buenos Aires, Argentina, por Patricio Rogelio ""Pato"" Santos Fontanet en la voz, Maximiliano Djerfy en Coros y Guitarra, Elio Delgado en Guitarra, Juan Alberto Carbone en Saxo, Eduardo ""Cabeza"" Vasquez en Bateria y Christian ""Dios"" Torrejón en el Bajo quienes después de lanzar discos demos como Solo por hoy (1997), Callejeros (1998) y Adelantos (2000) grabaron oficialmente los discos Sed (2001), Presión (2003), Rocanroles sin destino (2004), Señales (2006) y Disco Escultura (2008). <a href=""https://www.last.fm/music/Callejeros"">Read more on Last.fm</a>",
64,Keane,3894417,113636947,"Keane is an English alternative rock band from East Sussex, formed in 1995. They met while at Tonbridge School together. The band currently comprises Tom Chaplin (lead vocals, electric/acoustic guitar), Tim Rice-Oxley (piano, synthesisers, bass guitar, backing vocals), Richard Hughes (drums, percussion, backing vocals), and Jesse Quin (bass guitar, acoustic/electric guitar, backing vocals). Their original line-up included founder and guitarist Dominic Scott, who left in 2001. <a href=""https://www.last.fm/music/Keane"">Read more on Last.fm</a>",
65,Zoé,450244,25821949,"There are, at least, three artists known as Zoé: 1) A Mexican rock band. 2) An aka of Zoë Pollock (also, aka Zoë). 3) A French-speaking variétés françaises singer.

1) A Mexican rock band, that's not not afraid of experimenting, with a modern sound, an eclectic style, some British influences & overall, their music's sophisticated without loss of rock energy. Their lyrics cover many subjects / feelings, with the same level of sophistication that their music shows, plus honesty. <a href=""https://www.last.fm/music/+noredirect/Zo%C3%A9"">Read more on Last.fm</a>",Mexico
66,The Hives,2064576,56581620,"The Hives is a rock band from Fagersta, Sweden, formed in 1993. They gained recognition in their home country during the 1990s and achieved international success in the early 2000s as part of the garage rock revival movement. The band's original lineup included vocalist Howlin' Pelle Almqvist, lead guitarist and backing vocalist Nicholaus Arson, rhythm guitarist and backing vocalist Vigilante Carlstroem, bassist Dr. Matt Destruction, and drummer Chris Dangerous. <a href=""https://www.last.fm/music/The+Hives"">Read more on Last.fm</a>",
67,La Ley,231509,3938462,"La Ley (Spanish for ""The Law"") was a Grammy Award and two-time Latin Grammy Award-winning Chilean pop rock band formed by Andrés Bobe and Rodrigo Aboitiz with Mauricio Claveria, Beto Cuevas and Luciano Rojas in Santiago, Chile.

They were originally formed in 1987, and was meant to be a techno/new rave band led by a female vocalist. The original vocalist of the band was Lucía ""Shia"" Arbulu, female singer that returned to her hometown, Spain, in 1988, shortly after the release of the first EP of the group, which was entitled La Luna. <a href=""https://www.last.fm/music/La+Ley"">Read more on Last.fm</a>",Chile
68,Al Stewart,458583,5111819,"Al Stewart (born in Glasgow, Scotland on 5 September 1945) is a British songwriter and musician. He is best known for his 1976 single Year of the Cat and its 1978 follow-up Time Passages (both produced by Alan Parsons). Stewart's inspiration for his songs primarily comes from the past; indeed, he is credited with creating his own genre, ""historical folk rock"". At one time in his life, Stewart took guitar lessons from King Crimson guitarist Robert Fripp. <a href=""https://www.last.fm/music/Al+Stewart"">Read more on Last.fm</a>",United Kingdom
69,Richard Ashcroft,668014,8618968,"Richard Ashcroft (born Richard Paul Ashcroft, on September 11, 1971, in Billinge, Wigan, England) is best known as the front man of The Verve, which he helped form in 1989.

After that band's demise in 1999, Ashcroft began his solo career, releasing Alone with Everybody in 2000, Human Conditions in 2002 and Keys to the World in 2006. He performed vocals for the track Lonely Soul on UNKLE's 1998 release Psyence Fiction and his voice can also be heard on the The Chemical Brothers' album Come With Us track The Test. <a href=""https://www.last.fm/music/Richard+Ashcroft"">Read more on Last.fm</a>",
70,The Cure,5215096,370222456,"The Cure is an English gothic rock band formed in Crawley in 1976 by Robert Smith (vocals, guitar) and Lol Tolhurst (drums). The band’s current lineup consists of Smith, Simon Gallup (bass), Roger O'Donnell (keyboards), Perry Bamonte (guitar and keyboards), Jason Cooper (drums), and Reeves Gabrels (guitar). Smith has been the sole constant member throughout the group’s history, while Gallup has appeared on all but two of the band’s studio albums. <a href=""https://www.last.fm/music/The+Cure"">Read more on Last.fm</a>",
71,Drowning Pool,2050448,35677941,"There are 2 bands by this name:

1. Drowning Pool is a heavy metal/nu metal band from Dallas, Texas formed in 1997.5 that rose to prominence while playing along with Ozzy Osbourne during Ozzfest. Their 2001 debut album, Sinner, was certified platinum within six months and the video for its first single ""Bodies"" was frequently aired on various music video channels. After the September 11th attacks the song ""Bodies"" was infrequently heard on many radio stations due to the sensitivity of those families' loved ones who jumped from the towers. <a href=""https://www.last.fm/music/Drowning+Pool"">Read more on Last.fm</a>",
72,Skank,642032,21612722,"Skank is a pop/rock/reggae band in Brazil. The band started 1991, in Belo Horizonte, Minas Gerais.

The debut album, Skank (1993), was successful around the underground circuit. The second album, ""Calango"", came out in 1994 . “É Proibido Fumar”, “Te Ver”, “Pacato Cidadão”, “Jackie Teckila” and “Esmola” were the biggest hits.

In 1996, “Garota Nacional”, the single of ""O Samba Poconé"" gave Skank international success. The band travelled around the world, performing in Latin America, United States and Europe. <a href=""https://www.last.fm/music/Skank"">Read more on Last.fm</a>",
73,Electric Six,800544,23317417,"There are two artists that have used the name Electric Six
1. An alternative rock band from the United States
2. A musical group from South Africa

1. Electric Six is a six-piece Detroit-based rock band consisting of Dick Valentine (vocals), Tait Nucleus? (synthesizers), Johhny Na$hinal (guitar), Da Ve (guitar), Percussion World (drums), and Smorgasboard (bass) who play a mix of rock, funk and disco.

The band's first notorious formation comprised Valentine <a href=""https://www.last.fm/music/Electric+Six"">Read more on Last.fm</a>",
74,Los Auténticos Decadentes,246356,4615379,"Los Auténticos Decadentes (Spanish for ""The Authentic Decadents"") is an Argentine band that mixes ska with Latin American rhythms. The band was formed around 1986 by Cucho and Nito, who invited Gastón to join them.

Their first hit was Veni Raquel, which set the tone for their later lyrics' irreverence and ironic humor. Many of their songs are classic anthems of Argentinian nightlife, such as Corazón, Loco (Tu Forma de Ser), Entregá el Marrón, La Guitarra, Los Piratas, and El Murguero. <a href=""https://www.last.fm/music/+noredirect/Los+Aut%C3%A9nticos+Decadentes"">Read more on Last.fm</a>",Argentina
75,U2,4917766,225731240,"U2 is an Irish rock band formed in Dublin in 1976. The group comprises Bono (lead vocals and rhythm guitar), the Edge (lead guitar, keyboards, and backing vocals), Adam Clayton (bass guitar), and Larry Mullen Jr. (drums and percussion). Initially rooted in post-punk, U2's musical style has evolved throughout their career, yet has maintained an anthemic quality built on Bono's expressive vocals and the Edge's chiming, effects-based guitar sounds. Bono's lyrics <a href=""https://www.last.fm/music/U2"">Read more on Last.fm</a>",Ireland
76,Bunbury,145100,5172768,biografia no encontrada,
77,The Hellacopters,347982,11900554,"The Hellacopters is a Swedish garage rock band that was formed in 1994 by Nicke Andersson (vocals and guitar), Andreas Tyrone ""Dregen"" Svensson (guitar), Kenny Håkansson (bass), and Robert Eriksson (drums). Andersson (sometimes known as Nick Royale) had been the drummer for the death metal band Entombed, and Dregen was taking a break from his full-time band Backyard Babies. Dregen and Eriksson had been roadies for Entombed, while Håkansson was a childhood friend of Andersson's. <a href=""https://www.last.fm/music/The+Hellacopters"">Read more on Last.fm</a>",
78,The Dandy Warhols,1544520,33095769,"The Dandy Warhols is an American alternative rock band formed in Portland, Oregon in 1993. The band was founded by lead singer Courtney Taylor-Taylor, keyboardist Zia McCabe, guitarist Peter Holmström, and drummer Eric Hedford. Hedford left in 1998 to be replaced by Taylor-Taylor's cousin Brent DeBoer. The band's name is a play on the name of American pop artist Andy Warhol.

The Dandy Warhols are strongly influenced by The Brian Jonestown Massacre <a href=""https://www.last.fm/music/The+Dandy+Warhols"">Read more on Last.fm</a>",United States
79,Blur,4619908,186140427,"Blur is an English rock band formed in London in 1988, consisting of singer Damon Albarn, guitarist Graham Coxon, bassist Alex James, and drummer Dave Rowntree. Their debut album, ""Leisure"" (1991), incorporated elements of Madchester and shoegaze. Following a stylistic change influenced by British guitar pop groups such as the Kinks, the Beatles, and XTC, Blur released ""Modern Life Is Rubbish"" (1993), ""Parklife"" (1994), and ""The Great Escape"" (1995). <a href=""https://www.last.fm/music/Blur"">Read more on Last.fm</a>",United Kingdom
80,Los Piojos,115940,4339159,"Los Piojos was an argentine rock band born in 1987, originally formed in El Palomar, Buenos Aires. The band was lead by Andrés Ciro Martinez  (principal songwriting, harmonica, and vocalist). The line-up was completed by Gustavo Hernán ""Kupi"" Kupinsky (rhythm/lead guitar, backing vocals), Miguel Ángel ""Micky"" Rodríguez  (bass guitar, backing vocals) Daniel ""Piti"" Fernández (rhythm/lead guitar, backing vocals) and Daniel Buira (drums) [later, he was replaced by Sebastián ""Roger"" Cardero (drums)]. <a href=""https://www.last.fm/music/Los+Piojos"">Read more on Last.fm</a>",
81,Charly García,314851,18733823,"One of the most important rock and pop musicians in Latin America, Carlos Alberto García Moreno, better known as Charly García is a keyboardist, guitarist and singer-songwriter, born in Buenos Aires, Argentina in 1951. 

A former member of the legendary bands Sui Generis (1972-1975), Porsuigieco (1976), La Máquina de Hacer Pájaros (1977-1978) and Serú Girán (1978-1982), García has behind him a 40-year musical career that includes these bands -and his solo work- that carries on to this day. <a href=""https://www.last.fm/music/+noredirect/Charly+Garc%C3%ADa"">Read more on Last.fm</a>",
82,Skay Beilinson,24088,508445,"Guitarrista de Patricio Rey y sus Redonditos de Ricota, Skay editó su primer disco solista en el 2002, acompañado por Daniel Colombres en batería y Claudio Cuartero en bajo, con producción de la Negra Poly. ""A través del Mar de los Sargazos"" está conformado por canciones que fueron quedando afuera de los discos de los Redondos. «Son ideas muy ricas que, cuando las escuché, me seguían estimulando».

Con Colombres, Cuartero, Oscar Reyna (guitarra) y Javier Lecumberry (teclados) avanzó sobre ""Talismán"" (2004) <a href=""https://www.last.fm/music/Skay+Beilinson"">Read more on Last.fm</a>",
83,Molotov,456946,12676889,"Molotov is a Mexican rock and hip hop band formed on September 23, 1995 in Mexico City. Their lyrics feature a mixture of Spanish and English, rapped and sung by all members of the group. Musically, Molotov blends heavy basslines, flamenco guitar riffs and turntable scratches. Molotov is often regarded the Latin response to Rage Against The Machine. Many songs, such as ""Gimme Tha Power"" and ""Frijolero"", are politically inspired. Addressing issues such as disenfranchisement within Mexico and immigration in the United States. <a href=""https://www.last.fm/music/Molotov"">Read more on Last.fm</a>",Mexico
84,Rata Blanca,185115,3579136,"Rata Blanca was founded in 1985 by Walter Giardino after he left V8. Rata Blanca played together for about two years before their debut on August 15, 1987 in the theater ""Luz y Fuerza"" in Buenos Aires, Argentina. They later took part in the ""Halley en Obras"", along with other bands: Alakrán (""Skorpion""), JAF and Kamikaze, in 1988. That year they made their debut album with two hits: ""Chico Callejero"" (""Street Boy"") and ""El Sueño de la Gitana"" (""Gypsy Woman's Dream""). <a href=""https://www.last.fm/music/Rata+Blanca"">Read more on Last.fm</a>",
85,Nek,255906,4368359,"1. Filippo Neviani (born 6 January 1972), known by his stage name Nek, is an Italian singer-songwriter and musician. Nek is popular in Italy and throughout the Spanish-speaking world, and has performed and released most of his albums in both Italian and Spanish.

Nek first gained international success in 1997, when he took part in the Sanremo Music Festival in the Big Artists section, and although he didn't win, the song ""Laura non c'è"" (in Spanish: <a href=""https://www.last.fm/music/Nek"">Read more on Last.fm</a>",Italy
86,Engenheiros Do Hawaii,420080,28213288,"Engenheiros do Hawaii (""Engineers from/of Hawaii"", a.k.a. Engenheiros) is a Brazilian rock band formed in 1985 in the city of Porto Alegre. Their style crosses a variety of genres including progressive rock, alternative rock, folk rock, new wave, post-punk and pop rock.

They achieved great popularity with their ironic, critically charged songs with heavily semantic lyrics often relying on wordplays. The last formation includes: Humberto Gessinger (Guitar <a href=""https://www.last.fm/music/Engenheiros+Do+Hawaii"">Read more on Last.fm</a>",Brazil
87,Foo Fighters,6179334,351113330,"Foo Fighters is an American rock band formed in Seattle in 1994. Foo Fighters was initially formed as a one-man project by former Nirvana drummer Dave Grohl. Following the success of the eponymous debut album, Grohl (lead vocals, guitar) recruited a band consisting of Nate Mendel (bass guitar), William Goldsmith (drums), and Pat Smear (guitar). After a succession of lineup changes, including the departures of Goldsmith and Smear, the band formed its core lineup in 1999 consisting of Grohl <a href=""https://www.last.fm/music/Foo+Fighters"">Read more on Last.fm</a>",United States
88,Inspector,132903,2250608,"There are 2 bands with this name:

1. Mexican ska revival ensemble Inspector comprises singer Javier Sánchez aka Big Javi, drummer David Martínez aka Tribi, bassist Arnoldo Ortega aka Lolo, sax players Jaime González aka Jimmy and Jesús Arriaga aka Padrino, guitarist Alejandro Ortega aka Güero, keyboardist Homero Ontiveros aka Marango and trumpeter Jesús Lemo. The band debuted in 1995 with the independently produced Misión Ska, featuring five original songs. <a href=""https://www.last.fm/music/Inspector"">Read more on Last.fm</a>",Mexico
89,Counting Crows,2967681,58607068,"Counting Crows is an American rock band originating from Berkeley, California. Formed in 1991, the group gained fame in 1993 following the release of their debut album, titled 'August and Everything After', when track ""Mr. Jones"" became a big hit. Known for their melancholic yet melodic songwriting, the band started when singer Adam Duritz (previously of The Himalayans and Sordid Humor) teamed up with guitarist David Bryson (local producer and former member of the band Mr. <a href=""https://www.last.fm/music/Counting+Crows"">Read more on Last.fm</a>",United States
90,Lordi,571554,18099456,"Lordi is a Finnish hard rock band, formed in 1992 by the band's lead singer, songwriter and costume maker, Mr Lordi (Tomi Petteri Putaansuu). In addition to their melodic metal music, Lordi are also known for wearing monster masks and using horror elements with pyrotechnics during concerts and music videos. The band rose to fame in 2002 with their hit single ""Would You Love a Monsterman?"", and won the Eurovision Song Contest 2006 with their song ""Hard Rock Hallelujah"". <a href=""https://www.last.fm/music/Lordi"">Read more on Last.fm</a>",
91,R.E.M.,4240439,151310064,"R.E.M. was an American alternative rock band from Athens, Georgia, formed in 1980 by drummer Bill Berry, guitarist  Peter Buck, bassist/backing vocalist  Mike Mills, and lead vocalist  Michael Stipe. One of the first alternative rock bands, R.E.M. was noted for Buck's ringing, arpeggiated guitar style, Stipe's distinctive vocal quality and obscure lyrics, Mills's melodic bass lines and backing vocals, and Berry's tight, economical style of drumming.  <a href=""https://www.last.fm/music/R.E.M."">Read more on Last.fm</a>",United States
92,The Goo Goo Dolls,2425904,47053654,"The Goo Goo Dolls are an alternative rock band that formed in 1986 in Buffalo, New York. They are perhaps most famous for the hit ""Iris,"" featured on the soundtrack to the 1998 film City of Angels. Currently, the band consists of three members:

    * Johnny Rzeznik - Vocals, guitar (Founding member)
    * Robby Takac - Vocals, bass (Founding member)
    * Mike Malinin - Drums (Hired in 1995, made official member in 1998)

Founded in Buffalo, New York <a href=""https://www.last.fm/music/+noredirect/The+Goo+Goo+Dolls"">Read more on Last.fm</a>",
93,Pixies,4124392,207487202,"Pixies is an American alternative rock band which formed in Boston, Massachusetts, United States in 1986. The band consists of Charles (Black Francis) Thompson IV (vocals, guitar; also known as ''Frank Black''), Joey Santiago (lead guitar),   David Lovering (drums) and Emma Richardson (bass, vocals). Until 2013, the band also featured  Kim Deal on bass and vocals. From 2016 until 2024 the band also featured Paz Lechantin on bass and vocals.   The band officially split in 1993  and reunited in 2004. <a href=""https://www.last.fm/music/Pixies"">Read more on Last.fm</a>",United States
94,Orleans,259263,1643448,"Orleans is an American pop-rock band best known for its hits Dance With Me (1975), Still the One (1976), and Love Takes Time (1979). Orleans began as a trio in 1972 in Woodstock NY. Guitarist John Hall, drummer Wells Kelly and multi-instrumentalist Larry Hoppen played tirelessly all over the Northeast and up / down the Eastern “corridor” for nine months, then added Lance Hoppen (Larry’s brother) fresh out of high school on bass to form the quartet that would record its debut LP in 1973 at the legendary Muscle Shoals Studio in Alabama.  <a href=""https://www.last.fm/music/Orleans"">Read more on Last.fm</a>",United States
95,Miguel Ríos,38565,286237,"Ríos was born in La Cartuja, a neighborhood of Granada. The youngest of seven children, he went to work in a local bar at the age of fifteen after little formal education. His interest in rock and roll led him to participate in a song contest at Cenicienta 60 radio station, in which he and his friends won a prize for singing the Paul Anka song ""You Are My Destiny"".

With his mother's permission (his father died a few months earlier), he moved to Madrid in 1961 at the age of sixteen, where he recorded his first four songs. <a href=""https://www.last.fm/music/+noredirect/Miguel+R%C3%ADos"">Read more on Last.fm</a>",
96,Turf,80736,1187400,"Turf is a rock band from Argentina. It was formed in December 1995 & since then they been playing all around in Buenos Aires. 

Their first album was edited in August 1997 and it was called ""Una pila de vida"". In this album Charly García participated in the song ""Despiole generacional"". In that year they played with Los Ratones Paranoicos in the festival Buenos Aires Vivo. The two promo songs for this album were ""Casanova"" y ""Crónica Te Ve"".

In 1998 they played supporting The Rolling Stones in their concert in River Plate Stadium <a href=""https://www.last.fm/music/Turf"">Read more on Last.fm</a>",
97,The Beautiful Girls,381378,4583319,"The Beautiful Girls are an Australian band from the New South Wales coast composed of Mat McHugh on vocals and guitar, Paulie B on bass and Bruce Braybrooke on drums.

TBG have released five full length albums: Learn Yourself, We're Already Gone, Ziggurats, Spooks and Dancehall Days; as well as one EP, Morning Sun, TBG have an eclectic style of their own, with smatterings of rock, acoustic, reggae, pop and folk all through their music. Many people find elements of artists such as Ben Harper <a href=""https://www.last.fm/music/The+Beautiful+Girls"">Read more on Last.fm</a>",Australia
98,Serani Poji,310754,6223318,"Serani Poji (セラニポージ) is a Japanese pop group, describing themselves as ""made from happiness, miracle, mysterious, cake, strawberry, candy, funny, sweet drink, twinkle-star, perfume, teenage, youth, love, lover, milk tea, cafe au lait...and many many wonderful thing!""

Serani Poji was originally created in 1999 to provide songs for the Sega game ROOMMANIA＃203, in which ""Serani Poji"" is the name of a fictional pop singer. Tomoko Sasaki (ササキトモコ) handles composition, keyboards, and lyrics. <a href=""https://www.last.fm/music/Serani+Poji"">Read more on Last.fm</a>",Japan
99,Mägo de Oz,288240,13345164,"Mägo de Oz is a Folk Metal band from Madrid, Spain, formed in 1989 by drummer Txus. It was one of the earliest bands to perform Folk metal, combining celtic and Spanish folk music with heavy/power metal since their first releases. Their lyrics (always written in Spanish) combine supernatural stories and drinking escapades with a biting satire.

In 1992, the band became a finalist in the ""Villa de Madrid"" contest. They achieved great success in their country, and became Revelation Rock band in various media in 1995. <a href=""https://www.last.fm/music/+noredirect/M%C3%A4go+de+Oz"">Read more on Last.fm</a>",Spain
100,Aerosmith,4584189,127044499,"Aerosmith is an American rock band formed in Boston, Massachusetts, in 1970. The group consists of lead vocalist Steven Tyler, bassist Tom Hamilton, drummer Joey Kramer, and guitarists Joe Perry and Brad Whitford. Their musical style is primarily rooted in blues-based hard rock and also incorporates elements of pop rock, heavy metal, glam metal, and rhythm and blues. The band’s primary songwriting partnership between Tyler and Perry is often referred to as the Toxic Twins. <a href=""https://www.last.fm/music/Aerosmith"">Read more on Last.fm</a>",United States
101,Ben Harper,1549561,30771181,"Ben Harper (born in Pomona, CA, on 28 October 1969) is an American  Grammy-winning singer and songwriter. As well as solo albums, he has recorded as Ben Harper and Tom Freund, Ben Harper & The Innocent Criminals, Ben Harper And The Blind Boys Of Alabama, Ben Harper and Relentless7, Ben Harper & Charlie Musselwhite, and Ben & Ellen Harper. 

Harper grew up listening to blues, folk, soul, RnB, and reggae. Harper's blend of groove-laden funky soul and <a href=""https://www.last.fm/music/Ben+Harper"">Read more on Last.fm</a>",United States
102,Coti,197262,1601090,"1)Coti:
Argentinian singer & songwriter which has composed many great songs, like ""Color Esperanza"", the song that made Diego Torres a big star.  His 2005 collaboration with Latin singers Paulina Rubio and Julieta Venegas produced the international smash hit ""Nada Fue Un Error""  (which approximately means ""None of it was a Mistake"").

2)Coti:
Costantino Luca Rolando Kiriakos, born in Milan, Italy in 1966, moved to Greece at the age of 6, where, since the mid-eighties, better known simply as Coti (or Coti K. <a href=""https://www.last.fm/music/Coti"">Read more on Last.fm</a>",
103,Thanya Paredes Aymara,197,1677,biografia no encontrada,
104,Jóvenes Pordioseros,15400,142376,"Los Jóvenes Pordioseros es una banda que se formó inicialmente en el barrio de Lugano, en 1993. Sus primeros integrantes tenían en ese momento entre 15 y 16 años y estaban dando sus primeros pasos en la música. Ni siquiera contaban con instrumentos propios, por lo que los ensayos dependían de conseguirlos prestados. Ese año debutan en el Teatro Arpegios, y siguen por Arlequines, el Manicomio, el Circo, varios pubs y reuniones.
La influencia musical se basó en el rock and roll, y como exponentes principales los Rolling Stones. <a href=""https://www.last.fm/music/+noredirect/J%C3%B3venes+Pordioseros"">Read more on Last.fm</a>",
105,Wilco,1908515,99315798,"Wilco is an American alternative rock band which formed in 1994 in Chicago, Illinois, United States by the remaining members of alternative country group Uncle Tupelo following singer Jay Farrar's departure from that group. Wilco's lineup has changed frequently, with only singer Jeff Tweedy and bassist John Stirratt remaining from the original incarnation. The other current members are guitarist Nels Cline, multi-instrumentalists Pat Sansone and Mikael Jorgensen, and drummer Glenn Kotche. <a href=""https://www.last.fm/music/Wilco"">Read more on Last.fm</a>",United States
106,Lifehouse,2137041,54487515,"Lifehouse is an alternative rock band pioneered by lead singer and songwriter  Jason Wade . In the last 20 years, Lifehouse has released seven albums, debuting with the multi-platinum album No Name Face in the year 2000. The group includes Jason Wade (lead vocals, guitar), Rick Woolstenhulme Jr. (drums, percussion) and Bryce Soderberg (vocals, bass guitar). They have sold upwards of fifteen million singles and albums worldwide to date.

The band holds its roots in California <a href=""https://www.last.fm/music/Lifehouse"">Read more on Last.fm</a>",
107,Placebo,3370545,268588593,"There are at least four artists with the name Placebo:

1) Placebo is a British alternative rock duo formed in London in 1994 by vocalist-guitarist Brian Molko and bassist-guitarist Stefan Olsdal. Drummer Robert Schultzberg joined in late 1994 but left in 1996 shortly after the release of the band's eponymous debut album due to conflicts with Molko. He was replaced the same year by Steve Hewitt. Molko was born in Belgium, and Olsdal and Schultzberg were born in Sweden. <a href=""https://www.last.fm/music/Placebo"">Read more on Last.fm</a>",United Kingdom
108,Los Amantes De Lola,57894,422514,"Mexican band from Mexico City, formed in ends 80's. <a href=""https://www.last.fm/music/Los+Amantes+De+Lola"">Read more on Last.fm</a>",Mexico
109,Limp Bizkit,3936100,163185784,"Limp Bizkit is an American  alternative metal band from Jacksonville, Florida. Their lineup consists of Fred Durst (lead vocals), Sam Rivers (bass, backing vocals), John Otto (drums, percussion), DJ Lethal (turntables), and Wes Borland (guitars, vocals). Their music is marked by Durst's angry vocal delivery and Borland's sonic experimentation. Borland's elaborate visual appearance, which includes face and body paint, masks and uniforms, also plays a large role in the band's live shows. <a href=""https://www.last.fm/music/Limp+Bizkit"">Read more on Last.fm</a>",United States
110,Lionel Richie,1681261,18142364,"Lionel Brockman Richie, Jr. (born June 20, 1949 in Tuskegee, Alabama) is an American R&B singer, songwriter, composer, and occasional actor.  He got his start as the front man for the Commodores, a nationally popular Motown band during the 70's. They had several hits such as Easy, Three Times A Lady, and probably the Commodores' most famous hit, Brick House. 

Richie quit the band in 1981 for a solo career. He released his self-titled debut in 1982. <a href=""https://www.last.fm/music/Lionel+Richie"">Read more on Last.fm</a>",United States
111,Franz Ferdinand,4729023,175356077,"Franz Ferdinand is a Scottish alternative rock  band that formed in Glasgow, Scotland, United Kingdom, in 2002 and played an important part in the post-punk revival of the 2000s. The band was composed of Alex Kapranos (lead vocals and guitar), Bob Hardy (bass guitar), Nick McCarthy (rhythm guitar, keyboards and backing vocals) and Paul Thomson (drums, percussion and backing vocals) until 2016 when McCarthy left them. The next year  Julian Corrie (keyboards <a href=""https://www.last.fm/music/Franz+Ferdinand"">Read more on Last.fm</a>",
112,Black Rebel Motorcycle Club,1562526,46693949,"Black Rebel Motorcycle Club is a rock band from San Francisco, United States. The band formed in 1998. Influences include The Brian Jonestown Massacre, The Verve, The Rolling Stones, Oasis, T. Rex, The Velvet Underground, Love and Rockets, Daniel Ash, and The Jesus and Mary Chain.

The band's second album 'Take Them On, On Your Own' featured several songs ('Generation' and 'US Government') which were critical of the United States' foreign policy and George Bush in particular.  <a href=""https://www.last.fm/music/Black+Rebel+Motorcycle+Club"">Read more on Last.fm</a>",
113,La Unión,223957,2086864,"LA UNIØN grupo formado por Rafa Sánchez (cantante), Luis Bolín (bajo), Mario Martínez (guitarra) e Íñigo Zabala (teclados) a finales del año 82 en Madrid, al calor de “La Movida”. Su música influida, llena de personalidad, romanticismo, referencias literarias y cinematográficas pronto se hace notar. ""Lobo Hombre en París"", basada en un cuento de Boris Vian.  
 <a href=""https://www.last.fm/music/+noredirect/La+Uni%C3%B3n"">Read more on Last.fm</a>",
114,Travis,2089114,54378019,"Travis is a Scottish alternative band formed in Glasgow in 1990, composed of Fran Healy (lead vocals, rhythm guitar), Dougie Payne (bass guitar, backing vocals), Andy Dunlop (lead guitar, banjo, backing vocals) and Neil Primrose (drums, percussion). The band's name comes from the character Travis Henderson (played by Harry Dean Stanton) from the film Paris, Texas (1984).

The band released their debut album, Good Feeling (1997), to moderate success <a href=""https://www.last.fm/music/Travis"">Read more on Last.fm</a>",
115,Semisonic,1309896,12230022,"Semisonic is a power pop/alternative rock band formed in Minneapolis, Minnesota, U.S.A. Known for their signature song ""Closing Time"", the band members are Dan Wilson (guitar/vocals), John Munson (bass), and Jacob Slichter (drums). Although on hiatus since the early-00s, sporadic reunions have occurred.

After the breakup of Trip Shakespeare, Dan Wilson and John Munson joined up with drummer Jacob ""Jake"" Slichter to form Semisonic in 1995. An E.P. <a href=""https://www.last.fm/music/Semisonic"">Read more on Last.fm</a>",
