artista,oyentes,reproducciones,bio_resumen,pais
The Mighty Bop,69447,1312240,"The Mighty Bop is a pseudonym of Christophe Le Friant, better known by the alias Bob Sinclar. Born 10 May 1967, he is a Grammy Award-nominated French record producer, House music DJ, remixer and owner of the label Yellow Productions.
Sinclar started DJing in 1986, when he was 18 years old, specialising in funk and hip-hop music, with the name Chris The French Kiss. His first club hit was ""Gym Tonic"", which was co-produced by Thomas Bangalter of Daft Punk, featuring vocals illegally taken from a Jane Fonda fitness tape. <a href=""https://www.last.fm/music/The+Mighty+Bop"">Read more on Last.fm</a>",France
Dzihan & Kamien,463718,6129649,"The sound of Vienna-based duo dZihan & Kamien (pronounced Jee-hahn and Kammy-en) can easily be compared with downtempo, soulful house sounds of Jazzanova, P'taah, or the Naked Music compilations. The duo hit popularity in 1996 with the single Der Bauch, which went big in European clubs and made appearances on several compilations. Their full-length album Freaks and Icons was released in late 2000.

Vlado dZihan is originally from Sarajevo and grew up in a predominantly musical household. <a href=""https://www.last.fm/music/Dzihan+&+Kamien"">Read more on Last.fm</a>",
The Cinematic Orchestra,1751617,38068970,"The Cinematic Orchestra is a UK-based jazz and electronic outfit, created in 1999 by composer/programmer/multi-instrumentalist Jason Swinscoe, which records on the Ninja Tune independent record label. 

Other members include Tom Chant (saxophone), Phil France (double bass), Luke Flowers (drums), Nick Ramm (piano), Stuart McCallum (guitar); former members include Jamie Coleman (trumpet), T. Daniel Howard (drums), Alex James (piano), and Patrick ""PC"" Carpenter (turntables).  <a href=""https://www.last.fm/music/The+Cinematic+Orchestra"">Read more on Last.fm</a>",
Urbs & Cutex,21723,168704,biografia no encontrada,
Martina Topley-Bird,536659,6786770,"Martina Topley-Bird is a vocalist and songwriter from Shepherd's Bush, West London, United Kingdom, who first gained fame as the female vocalist on trip-hop pioneer Tricky's (Adrian Thaws) debut album, Maxinquaye, (a printing error credited her as ""Martine"") in 1993. She continued her collaboration with Tricky on his follow-up album Pre-Millennium Tension as well as his Nearly God side-project. Topley-Bird had a child, Maisie, with Thaws.

In 1998 <a href=""https://www.last.fm/music/Martina+Topley-Bird"">Read more on Last.fm</a>",
Gladys And The Boxers,7089,22750,biografia no encontrada,
DJ Toxic,17239,135440,"Always named as a big talent, DJ Toxic also known as Philipp Braccini has grown up in a musical environment. He learned to play guitar early and had his first performances at the age of 12 with his Grunge band. In 1996, DJ Toxic started to spin records. He has composed his first tracks and was soon discovered by the label Free Power Records.
In 2003, DJ Toxic had his first VIVA-TV-Hit ""Secret Melody"" with the Free Power Team. That was the moment when his career started. <a href=""https://www.last.fm/music/DJ+Toxic"">Read more on Last.fm</a>",
Kyoto Jazz Massive,211258,2877645,"Kyoto Jazz Massive is a musical project specialising in broken beat and electronic styles, consisting of the two brothers Okino Shuya (沖野修也) and Okino Yoshihiro (沖野好洋). Although the brothers have been DJ's since the late 1980's, they have been remixing and composing as far back as the early 1990's.
Since they formed Kyoto Jazz Massive as a DJ unit in the beginning of 90's, they have built a Japanese Jazz Crossover Music scene in Japan and also succesfully built a following overseas.  <a href=""https://www.last.fm/music/Kyoto+Jazz+Massive"">Read more on Last.fm</a>",Japan
2 Eivissa,46621,255100,"2 Eivissa is an Eurodance project created by Spanish-German based production Team 33.
Team 33 are Ambrogio Crotti, Luis Rodrigues Salazar, David Granados Lacera and Luigi Ricco.
2 Eivissa featured the vocalists Terri Bjerre and Melannie Molinnus on the tracks ""Oh La La La"" and ""Move Your Body"".
They were replaced in 1999 by Jobel (Lian Ross), although the live act was fronted by Jane and Francine (2 Blond Bandits) until 2000. 
They were featured on ""I Wanna Be Your Toy"" and ""Bad Girl"". <a href=""https://www.last.fm/music/2+Eivissa"">Read more on Last.fm</a>",
Missing Heart,28293,254354,"Missing Heart is a German project from BROS team (David Brandes, Felix J. Gauder, Gary Jones and others).
The project was on and off since 1994, with Lyane Leigh, the ex vocalist from E-Rotic.
In 2000, Manu More joined the project. Missing Heart released only one album, called ""Mystery"".

Missing Heart is known for the Dance Dance Revolution Hit: Moonlight Shadow. Queen of Light, Charlene and Fly Away also make apperances in Roxor's dancing game In The Groove. <a href=""https://www.last.fm/music/Missing+Heart"">Read more on Last.fm</a>",Germany
Gotan Project,799573,18216085,"Gotan Project is an electrotango group based in Paris, consisting of Frenchman Philippe Cohen Solal, Eduardo Makaroff from Argentina, and Christoph H. Müller, from Switzerland and a former member of Touch El Arab.

They formed in 1999. Their first release was Vuelvo Al Sur/El Capitalismo Foráneo in 2000, followed by the album La Revancha del Tango in 2001. Their music is clearly tango, but also uses electronic elements such as samples, beats and breaks. <a href=""https://www.last.fm/music/Gotan+Project"">Read more on Last.fm</a>",
Divinorum,6495,59112,"1.Divinorum produces big, lush, full-on trance & electronica.

The project was started in 1997 by the composer/producer Bjørn Lynne. 
Bjorn Lynne is from Norway and lives in Stavern. Today Bjorn Lynne is producing professional background music with his company Shockwave Sound (http://www.Shockwave-Sound.com)

2.Black\death metal band from USA.
https://www.facebook.com/DivinorumBand <a href=""https://www.last.fm/music/Divinorum"">Read more on Last.fm</a>",
Death in Vegas,847862,11806870,"Death in Vegas are an English electronic music group, for which Richard Fearless serves as frontman. The band was formed in 1994 by Fearless and Steve Hellier and signed to Concrete Records under the name of Dead Elvis. Owing to an Irish record label of the same name, Dead Elvis became the title of their first album instead.
Studio albums:
1997: Dead Elvis
1999: The Contino Sessions
2003: Scorpio Rising
2004: Satan’s Circus
2011: Trans-Love Energies
2016: Transmission
2025: Death Mask <a href=""https://www.last.fm/music/Death+in+Vegas"">Read more on Last.fm</a>",Ireland
Highland,65567,739676,"There are two artists with the name Highland. 

1. Highland is a dance/hip-hop group from Germany. Their music is recognizable for using Italian and sometimes Latin singing together with hip-hop beats and rapping in English. Band members are the singer Nicole Heiland and the rappers Dean ""Dirty-D"" Burke and Patrice ""Lady Scar"" Gansau. Their music is written and produced by Mike Michaels, Mark ""MM"" Dollar and Mark Tabak, known as the Triple-M crew, who are also behind the artists and bands such as Music Instructor, The Boyz and Ayman. <a href=""https://www.last.fm/music/Highland"">Read more on Last.fm</a>",Italy
FC Kahuna,218788,1642812,"Same as FC/Kahuna. <a href=""https://www.last.fm/music/+noredirect/FC+Kahuna"">Read more on Last.fm</a>",
Morrissey,1772594,81932866,"Steven Patrick Morrissey, better known as Morrissey, is a British singer and lyricist of Irish descent born in Davyhulme, Manchester, United Kingdom on May 22, 1959.

He was the lead singer of The Smiths, one of the most influential alternative bands in the 1980s. The group split up in 1987 and Morrissey started a successful solo career.

His first solo album, Viva Hate was released only six months after The Smiths split, in March 1988. The album's first single ""Suedehead"" peaked at #5 <a href=""https://www.last.fm/music/Morrissey"">Read more on Last.fm</a>",Ireland
Solsonics,17330,77434,"In 1991, bassist Jez Colin and percussionist Willie McNeil formed the Solsonics from Los Angeles's underground club scene. Although the band plays soul-jazz with updated hip-hop rhythms, elements of Afro-Cuban and reggae music also appear. The Solsonics first gained a national release when Chrysalis released Jazz in the Present Tense in 1993. ~ John Bush, All Music Guide <a href=""https://www.last.fm/music/Solsonics"">Read more on Last.fm</a>",
Daddy DJ,107120,667629,"Daddy DJ is a French Dance project that became popular with the release of their mega-hit ""Daddy DJ"". This project consists of David, singer born in New Caledonia, Jean-Christophe who plays keyboards and did remixes for such projects as Gigi D'Agostino, Dead or Alive and Blondie. The last member of the group is Charly, born in Martinique. <a href=""https://www.last.fm/music/Daddy+DJ"">Read more on Last.fm</a>",France
DJ Satomi,157149,1331528,"Born in Rome, DJ Satomi began his DJ career at the age of 15. He started out playing clubs all over the city including Piper, New Open Gate, and Alien Disco. In 1996 Satomi met the famous international team Prezioso. This changed the way he perceived his music, and he started to alternate the gigs with hour after hour passed in a studio, learning the ""precious"" art of producing. Thanks to the support and help of Marvin & Andrea Prezioso, in 1997 he released his first record titled ""Simon Templar - Electricity"". <a href=""https://www.last.fm/music/DJ+Satomi"">Read more on Last.fm</a>",
Alice Deejay,1020351,8356928,"Alice Deejay was a Dutch Eurodance project founded and produced by Wessel van Diepen, Dennis van den Driesschen, Sebastiaan Molijn, and Eelke Kalberg (known as Pronti & Kalmani) and fronted by singer Judith Anna Pronk. The group achieved worldwide success with the 1998 single ""Better Off Alone"", which sold over one million albums and five million singles globally.

Formed in 1998, Alice Deejay launched their career with the debut single ""Better Off Alone"", originally credited as DJ Jurgen presents Alice Deejay. <a href=""https://www.last.fm/music/Alice+Deejay"">Read more on Last.fm</a>",Netherlands
Elsa,60278,429027,"There are four artists recording under the name Elsa:

1. Elsa is a shoegaze-y indie rock band from Toronto, Ontario, Canada. Their membership includes Jonathan Rogers, Jesse Mirsky, Matthew Goldman, Angie Wong and Mike Aber. They recently released a new EP titled The Never Come Down on One Big Silence Records.

2. Elsa is a late-sixties era ye-ye girl. Strongly influenced by Bob Dylan, she gravitated toward the folk-rock genre, her song lyrics strongly reflecting typical beat generation themes and protest song structure.  <a href=""https://www.last.fm/music/Elsa"">Read more on Last.fm</a>",
St Germain,313138,4292776,"St. Germain is the stage name of Ludovic Navarre, a French musician. His style has been described as being a combination of house and nu jazz music.
 <a href=""https://www.last.fm/music/+noredirect/St+Germain"">Read more on Last.fm</a>",France
Rimini Project,25410,200180,"Rimini Project is a dance trio based in Austria. The group consists of Sarah K. (born Ester Olaide Ajewole in Paris in 1979), her older brother Sammy B. (born Samuel Oladipo Ajewole in Paris in 1977), and Scandinavia (aka Anna Louise Molander - born in Hudiksvall, Sweden in 1974). 

Rimini Project came about as a result of Sarah K. winning a song contest held at a club in Rimini in 1999. Producer Hubert Rinder approached her after the contest about starting a dance project.
 <a href=""https://www.last.fm/music/Rimini+Project"">Read more on Last.fm</a>",
Benny Benassi,1706588,18985127,"Marco Benassi, better known as Benny Benassi (born in Milan, 13 July 1967) is an Italian disc jockey and a euro house artist.

He usually works in studio with cousin Alle Benassi. The two also produce tracks together under the name Benassi Bros. The duo started DJing in the late 80s in their hometown, before moving to Larry Pignagnoli's Off Limits production studio in the mid 90s, creating music for various acts, including Whigfield, J.K. and Ally & Jo. <a href=""https://www.last.fm/music/Benny+Benassi"">Read more on Last.fm</a>",Italy
Boom Bip,216387,1842090,"Bryan Hollon, aka Boom Bip, is a producer and musician who experiments with many different genres and has developed a sound of his own. His music is mostly instrumental, but over the course of his career he has collaborated with several vocalists. Boom Bip is also known for the remix work that he has done for many artists on several different record labels. Some of those artists include Hot Hot Heat, Mogwai, Four Tet, M83, Danny Elfman, Pet, and Super Furry Animals. <a href=""https://www.last.fm/music/Boom+Bip"">Read more on Last.fm</a>",
Hybrid,413122,8987213,"At least six musical acts are known to go by the name Hybrid. In order of popularity:

1) Mike Truman and Chris Healings have been writing, producing, touring and DJing all over the globe for the best part of a decade, amassing near 250 productions. The duo has written four LPs to date: Wide Angle, 1999; Morning Sci-Fi, 2003; I Choose Noise, 2006; and Disappear Here, 2010 – all on Distinctive.

Since first bursting onto the scene with the now classic album <a href=""https://www.last.fm/music/Hybrid"">Read more on Last.fm</a>",
Paris Match,61179,1568008,"paris match (パリス・マッチ) is a Japanese pop-jazz band, consisting of Mari Mizuno (vocals) and Yosuke Sugiyama (music). Their name is based on a track from an Album by The Style Council, Café Bleu. The band was formed in 1998 by Tai Furusawa and Yosuke Sugiyama. Both had already experiences in the music business - Furusawa as a DJ and composer and he organized club events; Sugiyama was an experienced producer, arranger and remixer. They met singer Mari Mizuno when she and Sugiyama worked for a radio station in Nagoya at the same time. <a href=""https://www.last.fm/music/Paris+Match"">Read more on Last.fm</a>",Japan
DJs@Work,14613,80746,biografia no encontrada,
Infernal,339725,3596879,"There are nine artists with the name ‘Infernal’: 

1. A Danish dance/pop duo. They first met in 1991 through mutual friends and formed a band in 1997, with Søren Haarh leaving the group in 2000. The duo now consists of Paw Lagerman (born 1977) and Lina Rafn (born 1976), both from Copenhagen, Denmark. 
So far, they have released 4 studio albums and a remix album. But it was only recently with the release of their third album ‘From Paris to Berlin’ that they received international success. <a href=""https://www.last.fm/music/Infernal"">Read more on Last.fm</a>",
Idris Muhammad,262521,1991255,"Idris Muhammad (November 13, 1939 - July 29, 2014)  was a jazz  drummer.  Born in New Orleans, Louisiana as Leo Morris before changing his name in the 1960s upon his conversion to Islam. He is known for his funky playing style. He has released a number of albums as leader, and has played with a number of jazz legends including Lou Donaldson, Johnny Griffin, Pharoah Sanders and Grover Washington, Jr. In 2011 he toured internationally with pianist Ahmad Jamal.   <a href=""https://www.last.fm/music/Idris+Muhammad"">Read more on Last.fm</a>",
Masculados,12398,42463,"Masculados is an all-male song-and-dance group composed of Zoltan Amore, Omar Principe, Bok, Kiro Amirati, Lexter Lazaro, Robin Robel, and Ailex De Asis. The group has two albums, self-titled Masculados and Nakaka…, both under Universal Records. The group is discovered by movie and television director Maryo J. Delos Reyes. <a href=""https://www.last.fm/music/Masculados"">Read more on Last.fm</a>",
Clazziquai,50689,2130897,"Clazziquai Project (클래지콰이) is an electronic trio from South Korea consisting of DJ Clazzi,  Alex (알렉스) and Horan (호란). Alex's older sister, Christina,  was an original member of the project group, but was unable to continue to participate and was later replaced by Horan.

Clazziquai (Classic + Jazz + Groove) initially started out as an experimental project by leader and mastermind, DJ Clazzi a.k.a 김성훈 (Kim Sung-hoon). Kim graduated from Capilano College, and continued his study at CDIS (Center for Digital Image). <a href=""https://www.last.fm/music/+noredirect/Clazziquai"">Read more on Last.fm</a>",
Gorillaz,6592412,474194806,"Gorillaz is a British virtual band created in 1998 by musician Damon Albarn and artist Jamie Hewlett. The band currently consists of four animated members: Murdoc Niccals (bass guitar) who formed the band, 2-D (lead vocals, keyboards), Noodle (guitar, vocals) and Russel Hobbs (drums and percussion). Their fictional universe is explored through animated music videos, interviews and animated shorts. In reality, Albarn is the only permanent musical contributor and often collaborates with other musicians. <a href=""https://www.last.fm/music/Gorillaz"">Read more on Last.fm</a>",United Kingdom
Klubbhoppers,19332,98838,"2 Dj´s from Austria , Alexander Wyhnalek, Mario Plotz make Dance/Trance tracks <a href=""https://www.last.fm/music/Klubbhoppers"">Read more on Last.fm</a>",
Tosca,869848,15597247,"Tosca is an electronic music project of Richard Dorfmeister and Rupert Huber formed 1994 in Vienna. It is Dorfmeister's second such project, the first being Kruder & Dorfmeister. Tosca's first album, Opera, was released in 1997 by G-Stone Recordings.

Richard Dorfmeister and Rupert Huber first met in school, and began experimenting with tape machines, Indian music, and poetry lyrics, under the name of Dehli9. After school, Dorfmeister and Huber went their separate ways: Dorfmeister began producing and DJing with Peter Kruder <a href=""https://www.last.fm/music/Tosca"">Read more on Last.fm</a>",India
John The Whistler,6413,42546,"John The Whistler is Umberto Carli, a Bubblegum Macho artist from Denmark. He is most well-known for his 2000 single ""I'm In Love"" which appeared on his debut album, It's Crazy (2001). John The Whistler is produced under the Edel Records label (Germany & Denmark). His song ""I'm In Love"" has also appeared on a number of dance compilation albums, including Absolute Hits 2000 and Absolute Kids 2.

Like Holly Dolly, Crazy Frog, and Gummibear, a computer-generated character appears in the music videos singing along to the songs. <a href=""https://www.last.fm/music/John+The+Whistler"">Read more on Last.fm</a>",
Eric Prydz,1447825,14977241,"Eric Prydz is a Swedish DJ and producer best known for his 2004 hit single ""Call On Me"", his remix of Pink Floyd's ""Another Brick In The Wall"" (known as ""Proper Education"") and more recently the anthem ""Pjanoo"". 

He also releases music under the aliases of Cirez D, Pryda and Sheridan. Prydz produces electronic music which falls into a variety of sub genres, most notably house (Including electro house and tech house), minimal and techno.

Aside from producing music Prydz also runs the record labels Pryda <a href=""https://www.last.fm/music/Eric+Prydz"">Read more on Last.fm</a>",
Handsome Boy Modeling School,605971,7094361,"Handsome Boy Modeling School were Prince Paul (best-known for his work with De la Soul and Stetsasonic) and Dan Nakamura (a.k.a. Dan the Automator), hugely successful hip-hop producers in their own right.  They released two CDs in total: So...How's Your Girl? in 1999 and White People in 2004, collaborating with a mix of diverse artists, ranging from hip-hop heavyweights Del tha Funkee Homosapien and RZA through to The Mars Volta and indie-darling Cat Power. <a href=""https://www.last.fm/music/Handsome+Boy+Modeling+School"">Read more on Last.fm</a>",
Hird,289650,3441673,"Christoffer Berg was born and raised by two musicians in Gothenburg, Sweden. Growing up in a musical environment made it possible for Christoffer to play around with music from the early days of childhood, which might explain his relaxed attitude towards creating music. Christoffer ""Hird"" Berg does everything himself: drums, percussion, keyboards, guitar and vocals. <a href=""https://www.last.fm/music/Hird"">Read more on Last.fm</a>",
MONDO GROSSO,211098,3812628,"MONDO GROSSO (It: Big World), originally the name of the Kyoto-based acid jazz band formed in Kyoto in 1991, eventually came to be the main alias of composer, DJ, musician, producer, and former MONDO GROSSO leader and bassist, Shinichi Osawa. Releasing innovative tunes with his solo projects, Osawa has set out countless producing and remix works for both Japanese and international artists. As a composer and producer, Osawa has worked with Japanese artists such as Amuro Namie, UA, Monday Michiru, bird, Nobuchika Eri, BoA, and Crystal Kay. <a href=""https://www.last.fm/music/MONDO+GROSSO"">Read more on Last.fm</a>",Japan
Morcheeba,1655297,51820088,"Morcheeba is an English electronic band formed in the mid-1990s with founding members vocalist Skye Edwards and the brothers Paul and Ross Godfrey. They mix influences from trip hop, rock, folk rock and downtempo, and have produced nine regular studio albums since 1995, two of which reached the UK top ten.[1] Edwards left the band in 2003, after which the brothers used a number of singers before she rejoined in 2009. They recruit additional members for their live performances and have toured internationally. <a href=""https://www.last.fm/music/Morcheeba"">Read more on Last.fm</a>",
Jamiroquai,2731006,97262067,"Jamiroquai is an English funk and acid jazz band from London. Formed in 1992, they are fronted by vocalist Jay Kay, and were prominent in the London-based funk and acid jazz movement of the 1990s. They built on their acid jazz sound in their early releases and later drew from rock, disco, electronic and Latin music genres. Lyrically, the group has addressed social and environmental justice. Kay has remained as the only original member through several line-up changes. <a href=""https://www.last.fm/music/Jamiroquai"">Read more on Last.fm</a>",
Bowery Electric,298626,6064795,"Bowery Electric was an American band formed in New York in 1993 by Lawrence Chandler and Martha Schwendener. They released three albums between 1995 and 2000, including the critically praised Beat (1996).

Formed by Lawrence Chandler and Martha Schwendener in late 1993, Bowery Electric played their first show in New York City in January 1994. The band's debut double 7-inch single was recorded by Kramer and released by Hi-Fidelity Recordings in 1994. After listening to it, Kranky contacted the band. <a href=""https://www.last.fm/music/Bowery+Electric"">Read more on Last.fm</a>",United States
Vhen Bautista,395,10619,biografia no encontrada,
Massive Attack,3706409,180454035,"Massive Attack is an English trip hop collective formed in 1988 in Bristol by Robert ""3D"" Del Naja, Adrian ""Tricky"" Thaws, Andrew ""Mushroom"" Vowles and Grant ""Daddy G"" Marshall.

The debut Massive Attack album Blue Lines was released in 1991, with the single ""Unfinished Sympathy"" reaching the charts and later being voted the 63rd greatest song of all time in a poll by NME. 1998's Mezzanine (containing the top 10 single ""Teardrop"") and 2003's 100th Window charted in the UK at number one. <a href=""https://www.last.fm/music/Massive+Attack"">Read more on Last.fm</a>",
Conjure One,449014,7088817,"Conjure One is the label given to the creative outlet for Canadian producer Rhys Fulber, also member of the electro-industrial band Front Line Assembly and the ethnic electronica band Delerium. With a stylistic origin based in the genre of electronica, his songs usually range between downtempo, ambient and pop, also bearing strong influences from world music and Central Asian culture. It can also be observed to seek a fusion between the contrast of organic and electronic sounds, sometimes leaning more towards one direction than the other. <a href=""https://www.last.fm/music/Conjure+One"">Read more on Last.fm</a>",Canada
A Touch of Class,435530,3268009,"A Touch of Class was a pop group based in Germany, although the four members each came from different countries—Joseph ""Joey"" Murray from New Zealand, Sarah Egglestone from Australia, Tracey Elizabeth Packham from England, and Livio Salvi from Italy. The four met in Hamburg, where they were all cast members of the German production of the stage musical ""Cats"".

Their first single, ""Around The World (La La La La La)"" (which was a cover of the song ""Pesenka"" of the Russian group Ruki Vverh) was number one in Germany for six weeks in 2000. <a href=""https://www.last.fm/music/A+Touch+of+Class"">Read more on Last.fm</a>",Germany
The Karminsky Experience Inc.,111954,1053116,"DJs Martin Dingle and James Munns formed The Karminsky Experience Inc. in January of 1991. After a series of successful and influential club nights in and around London, The Karminsky Experience Inc. released three compilations for Polygram. ""Inflight Entertainment"", ""Espresso Espresso"" and ""Further Inflight Entertainment"" were released to critical acclaim between 1996 and 1997 and had combined global sales of nearly 100,000 copies.

After the release of their first compilations for Polygram, The Karminsky Experience Inc. <a href=""https://www.last.fm/music/The+Karminsky+Experience+Inc."">Read more on Last.fm</a>",
E-Type,290179,5008186,"There are two artists named E-Type:

1) Swedish singer.
2) English old school hardcore producer.

E-type (real name: Bo Martin Erik Eriksson) is a Swedish Eurodance singer born on August 27, 1965. He became known to the audience in 1991 when the hit single ""We've Got the Atmosphere"" was released. This single went directly to the top of the Swedish charts. After that, E-type became well known in the Swedish entertainment world as a television host, film soundtrack composer and a song writer for several Swedish artists. <a href=""https://www.last.fm/music/E-Type"">Read more on Last.fm</a>",
DJ Nu-Mark,69053,438904,"DJ Nu-Mark is a hip-hop DJ mostly known for his membership of Jurassic 5, an American now only five-piece hip-hop crew with a DJ and four MCs, the other DJ used to be Cut Chemist. He is also a renowned hip-hop producer and DJ.

His discography includes all four Jurassic 5 album releases (Jurassic 5 LP, Quality Control, Power in Numbers and Feedback), a Sequence Session Mixtape CD entitled Hands On and his most recent project, collaborating with Pomo to create Blendcrafters. <a href=""https://www.last.fm/music/DJ+Nu-Mark"">Read more on Last.fm</a>",United States
Bomfunk MC's,664265,6742240,"Bomfunk MC'S were a Finnish breakbeat and hip-hop supergroup formed in 1997 by Ismo ""Gismo"" Lappalainen and Raymond ""B.O.Dubb"" Ebanks, whose hit Freestyler became 1999's best-selling single in Europe. The band were together until around 2005 when they faded from the public eye and ceased to release any work. The current situation of the band is not known for sure, and no certain answer as to whether they are still together or will make music in the future is clear. <a href=""https://www.last.fm/music/Bomfunk+MC%27s"">Read more on Last.fm</a>",
Shakedown,288305,1583828,"The Swedish-Swiss dance act made up of Mandrax and Seb K, best known for the hit ""At Night"".

By the time they started Shakedown in 1999, Mandrax and Seb K. already had a good idea of each other’s musicality: they’re brothers, blending Swiss and Swedish backgrounds. Stephan Mandrax is no newcomer to electronic music. Initially a fan of new wave and punk (making his 1984 DJ debut in a rock club), house music found him in 1986. Stephan moved to New York in 1992 <a href=""https://www.last.fm/music/Shakedown"">Read more on Last.fm</a>",
Catrien,6182,45053,biografia no encontrada,
Alex C.,195084,1978733,biografia no encontrada,
Kraftwerk,1364895,41179777,"Kraftwerk (""power plant"" in English) are an electronic band founded in 1970 in Düsseldorf, Germany. They pioneered electronic music in the 70s and are considered the most important and influential band of their genre, often described as ""the godfathers of electronic music"". Kraftwerk's sound is minimalistic and strictly electronic; it combines driving, repetitive rhythms with catchy melodies and vocals usually sung through a vocoder. The current line-up consists of Ralf Hütter (the only original member) <a href=""https://www.last.fm/music/Kraftwerk"">Read more on Last.fm</a>",
Boozoo Bajou,566371,7192368,"Boozoo Bajou is a musical duo from Germany. They are noted for their distinct blend of Cajun sounds with island rhythms. 2014 saw the release of their latest album, 4. The Nuremberg natives behind the music are Peter Heider and Florian Seyberth. Boozoo Bajou's first album, Satta, was released in 2001. The list of Boozoo Bajou remixes for other artists include Common, Tosca, Trüby Trio, and Tony Joe White.

Summer 2001: On the Nuremberg based Downbeat/Lounge/Nu <a href=""https://www.last.fm/music/Boozoo+Bajou"">Read more on Last.fm</a>",
Incognito,420589,6291856,"There are multiple artists called Incognito:

1. An acid jazz project by Jean-Paul ""Bluey"" Maunick with deep roots in the 1970's jazz/funk/fusion world (active from 1979 to present) See below 1. for their discography.

2. A smooth jazz online group from Tupelo Records /  IODA. No other information found about this unregistered band (""Buy at Insound"" link is broken). They released similar or exactly the same title tunes/logo as the other Incognito above. (See below for details) <a href=""https://www.last.fm/music/Incognito"">Read more on Last.fm</a>",
DJ Shadow,1968220,57602856,"Considered a prominent figure in the development of instrumental hip-hop, DJ Shadow (real name Josh Davis) has proven himself with groundbreaking, genre-defining solo output on such respected labels as Solesides and Mo' Wax.

DJ Shadow spent his teenage years in Davis, California and was a DJ at the community radio station KDVS. During his time as a radio disc jockey, DJ Shadow was significant in developing the experimental instrumental hip-hop style associated with the California-based Solesides record label. <a href=""https://www.last.fm/music/DJ+Shadow"">Read more on Last.fm</a>",
Novaspace,215836,1698663,"Novaspace is a German Eurodance project which between 2002 and 2004 has covered several '80s hits such as ""Time After Time"", ""Guardian Angel"" and ""Beds Are Burning"". They have reached the Top-20 in Germany, Austria as well as in Australia.

Novaspace which originated in 2002 by producer Felix Gauder was first fronted by Jessica Boehrs (singer) who was later replaced by Jenny Marsala.

Jessica Boehrs started singing in 1996 in the band JessVaness. She was a background-singer in some songs of Caught in the Act and Tic Tac Toe. <a href=""https://www.last.fm/music/Novaspace"">Read more on Last.fm</a>",Germany
Charanjit Singh,32091,296181,"Charanjit Singh (1940 - 2015) started out as a session musician, playing on numerous Bollywood film soundtracks throughout the 1960s and 1970s, before moving on to compose music himself. In 1982 he imported with much pain some of the latest synthesizer equipment into India. A good investment as Bollywood composers liked to feature the latest sound in their songs, and with these keyboards Singh spiced up numerous Bollywood recordings. 

But apart from that <a href=""https://www.last.fm/music/Charanjit+Singh"">Read more on Last.fm</a>",
Floorfilla,110375,707455,"The FLOORFILLA project was born in 1998 in the town of Reggio Emilia (Italy) and precisely inside the studio of DJ CERLA, a very well known dance producer author of massive hit singles as “Rotterdam” (1993) and “Wonder” (1995). DJ Cerla was working on a new sound which needed a rap lyric to be sampled. The legend tells that during a night in a club Dj Cerla remained astonished by the performance of MOMO B. a french MC, percussionist and dancer. <a href=""https://www.last.fm/music/Floorfilla"">Read more on Last.fm</a>",France
James,987625,19232418,"There are several artists in this entry:

1) a British alternative rock band formed in 1981 in Manchester
2) the vocalist of popular Bangladeshi band Nagar Baul
3) a Dutch rapper connected to the Fakkelteitgroep. 
4) James, South Korean Musician

1) James is an indie rock band formed 1981 in Manchester, England

The band's sound is mostly defined by their lead singer Tim Booth's resonating vocals and emotional lyrics, as well as a spirit of experimentation that they held onto throughout their active career. <a href=""https://www.last.fm/music/James"">Read more on Last.fm</a>",Netherlands
Jazzanova,608847,8883367,"Jazzanova is a crew of DJs/producers from Germany (Berlin, Hamburg & Munich), inc' Alexander Barck, Axel Reinemer, Claas Brieler, Jürgen von Knoblauch, Roskow Kretschmann & Stefan Leisering.  They have been producing hits in the breakbeat / electronic scene since 1996.  Their music fuses many styles, including:  acid jazz, soul & broken beat. <a href=""https://www.last.fm/music/Jazzanova"">Read more on Last.fm</a>",
La Bouche,872561,6566835,"La Bouche (French for ""The Mouth"") is a German-American Eurodance duo known for the hits ""Be My Lover"", ""Sweet Dreams"", ""You Won't Forget Me"", and ""S.O.S."" The group was founded in 1994 by record producer Frank Farian in Frankfurt am Main, who collaborated with techno DJ Ulli Brenner and producer Amir Saraf to create the music, while American singer Melanie Thornton and American rapper and singer Lane McCray served as the front performers.

Thornton and McCray had previously collaborated in music before forming La Bouche. <a href=""https://www.last.fm/music/La+Bouche"">Read more on Last.fm</a>",United States
Prefuse 73,592310,15707615,"Prefuse 73 is a pseudonym of Barcelona, Spain, hip-hop / electronic producer / artist Guillermo Scott Herren (aka Delarosa and Asora, Piano Overlord and Ahmad Szabo). He also performs with Eva Puyuelo Muns, in a duo known as Savath & Savalas.  Herren debuted with EP Estrocaro (Oct 2000, Warp – aka Estrocaro EP) and his latest album is Estrocaro (16 Apr 2011, Beat / Jp – Warp / RoTW).

He began his career DJing at MJQ, a small night club in Atlanta, and then began working in commercial studios but soon branched out into his own music. <a href=""https://www.last.fm/music/Prefuse+73"">Read more on Last.fm</a>",
