artista,oyentes,reproducciones,bio_resumen
Banda Calypso,157795,8372833,"Banda Calypso was a Brazilian brega pop band formed in Belém, Pará, Brazil in 1999. The band was composed by Joelma da Silva Mendes and producer/guitarist Cledivan Almeida Farias, better known as Chimbinha.

The band achieved unbelievable success in the early 2000s and became a leader in CD and DVD sales, with approximately 15 million albums and over 5 million DVDs distributed in Brazil, making it one of the record-breaking bands of the country in sales. 
 <a href=""https://www.last.fm/music/Banda+Calypso"">Read more on Last.fm</a>"
The Specials,1108125,19387980,"The Specials is an English “2 Tone” ska revival band  formed in 1977 in Coventry, Warwickshire. Their music combines a danceable ska beat with punk’s energy, underpinned by an informed political and social stance. 

The group was formed by songwriter/keyboardist Jerry Dammers, with Terry Hall (vocals), Lynval Golding (guitar, vocals) and a rhythm section featuring Horace Panter (bass) and John Bradbury (drums; born 16 February 1953, died 28 December 2015). <a href=""https://www.last.fm/music/The+Specials"">Read more on Last.fm</a>"
Tijuana No!,41839,324462,"Tijuana No! is a Ska, Rock/Punk Mexican band, from Tijuana BC, México. It was characterized by the social critic in its lyrics, where they also showed their support to the EZLN, and made reference in his songs to racial, international and governmental problems, mainly to the immigration policies in the state of California. In its early stages they had the participation of Mexican singer Julieta Venegas. Luis Güereña, lead singer, died in 2004 due to a heart attack. <a href=""https://www.last.fm/music/+noredirect/Tijuana+No%21"">Read more on Last.fm</a>"
Los de Abajo,110493,820808,"Los de Abajo are a band from Mexico City founded in 1992 as a Latin ska four-piece band. Since then they have expanded to eight members and widened their musical influences to include rock, salsa, reggae, cumbia, Son Jarocho and banda sinaloense. Founder member Liber Terán is the main vocalist and writes many of the songs, although all band members receive equal pay for their contributions.

The band was unable to secure a record deal in Mexico, as their music was considered to be insufficiently commercial <a href=""https://www.last.fm/music/Los+de+Abajo"">Read more on Last.fm</a>"
Carlton & The Shoes,35361,204231,"Carlton and the Shoes (sometimes credited as Carlton & His Shoes) are a Jamaican vocal group who had their greatest success in the late 1960s, as rocksteady gradually became reggae and are still active in 2008, most notably in Japan and Jamaica. The group had several Studio One recorded hits in Jamaica, most notably ""Love me Forever"" in 1968.

The group is led by Carlton Manning, and the line-up was originally completed by his younger brothers Donald and Lynford (both members of The Abyssinians), and Alexander Henry. <a href=""https://www.last.fm/music/Carlton+&+The+Shoes"">Read more on Last.fm</a>"
Cheb Mami,79285,711466,"Romanized spelling of شاب مامي (Cheb Mami).
Cheb Mami, whose real name is Mohamed Khelifati, is an Algerian raï singer and actor, born 11 July 1966 in Saïda, Algeria. His collaboration with Sting for the track ""Desert Rose"" in 1999, was an international success that made his music known all over the world. <a href=""https://www.last.fm/music/Cheb+Mami"">Read more on Last.fm</a>"
Bernard Lavilliers,75181,1047917,"Bernard Lavilliers is a French anti-conformist rock singer since the early 80s. He's also influenced by latino-Cuban sounds like salsa. <a href=""https://www.last.fm/music/Bernard+Lavilliers"">Read more on Last.fm</a>"
Talco,80709,3254783,"Note: There are two different bands named Talco.
Talco's (Italy) project starts off within December 1999 and January 2000 as a politic ska-core band composed of Tomaso (vocals + guitar), Daniele (guitar) and Nicola (drums). During their first period Rocco (guitar) takes over in while Daniele begins to play bass: the most important arrival is, though, the one of Riccardo at the trumpet. With him the band starts playing around, starting with a ska festival, in Lugo di Romagna (Ravenna. <a href=""https://www.last.fm/music/Talco"">Read more on Last.fm</a>"
Los Rabanes,38646,359413,"Panamá wasn't a country known by its music in the world, until Los Rabanes appeared on the scene. Not only do they represent their country  in the music scene, but they do it with a fusion worthy of a country located in the center of the continent.
Genres as Reggae, Cumbia, Vallenato, Andina Music, Salsa, Merengue, are mixed with Rock and Ska in Rabanes' music, lyrics about Love, Politics and Fun are the Los Rabanes music subjects.
 <a href=""https://www.last.fm/music/Los+Rabanes"">Read more on Last.fm</a>"
Derrick Harriott,172360,1090590,"Derrick Harriott (born Derrick Clinton Harriott, 6 February 1939, Jamaica) is a singer and record producer. He has produced recordings by Big Youth, Chariot Riders, The Chosen Few, Dennis Brown, The Ethiopians, Keith & Tex, The Kingstonians, Rudy Mills, Scotty, Sly & Revolutionaries, and Winston McAnuff.
 <a href=""https://www.last.fm/music/Derrick+Harriott"">Read more on Last.fm</a>"
The Burning Souls,1844,6378,biografia no encontrada
Jennifer Lara,53664,413269,"Jennifer Lara recorded at Coxsone Dodd's famed Studio One studio for most of her career and released her own album in the 70s entitled 'Studio One Presents Jennifer Lara' (pictured left).

It is reported that her last song - 'Ordinary People' (a duet with Dalton Browne) - was recorded at Studio One just two weeks ago and she toured recently as a backing vocalist with The Ethiopians.

During her over 35 year association with the studio, Jennifer Lara added backing vocals to the songs of some of the camp's biggest names <a href=""https://www.last.fm/music/Jennifer+Lara"">Read more on Last.fm</a>"
Lord Kossity,23905,191458,"    Lord Kossity is a ragga-zouk musician from the French Antilles (Martinique & Guadeloupe), in the West French Indies (FWI). His family is originally from Martinique but he was born in France, in the suburbs of Paris, and moved back to the French Antilles with his family when he was 11 year old.

He began his career in the 90s with the group Contrast (band), with his cousin, Dr. Jekyll. He began incorporating ragga music with the zouk style later in the 1990s <a href=""https://www.last.fm/music/Lord+Kossity"">Read more on Last.fm</a>"
Intoxicados,121195,3508572,"Banda de Cristian 'el Pity' Alvarez, formada al finalizar Viejas Locas. Mas alla del Rock Stone caracteristico, tambien exploran en el hip-hop, reggae o con bases electronicas <a href=""https://www.last.fm/music/Intoxicados"">Read more on Last.fm</a>"
Lord Superior,1143,3660,"Lord Superior (Andrew Marcano,  Rio Claro, Trinidad and Tobago, November 30, 1937 - November 24, 2018) was a Trinidadian calypsonian.

Lord Superior made his debut into calypso at the age of 16 singing a calypso called ""Coconut"" at the Victory Calypso Tent in Port of Spain. In those days he was considered to be the youngest Calypsonian to perform locally.

Some of his memorable calypsoes were, Spread Joy, San Fernando Carnival, Saga T'ing, We want a day, Standardise Pan, Cultural Assassination and Put the women on top. <a href=""https://www.last.fm/music/Lord+Superior"">Read more on Last.fm</a>"
Phyllis Dillon,141437,1191324,"Phyllis Dillon (27 December 1944 — 15 April 2004) was a Jamaican ska and reggae singer who recorded for Duke Reid's lucrative Treasure Isle record label in the late 1960s and early 1970s.

Dillon was born in 1944 in Linstead, St. Catherine, Jamaica.[1] Influenced by American singers Connie Francis, Patti Page and Dionne Warwick, she began singing in talent contests. It was during a performance at the Glass Bucket Club in Kingston, Jamaica with the group The Vulcans, that Duke Reid's session guitarist Lynn Taitt discovered Dillon.[1] <a href=""https://www.last.fm/music/Phyllis+Dillon"">Read more on Last.fm</a>"
Tiken Jah Fakoly,159789,2342575,"Tiken Jah Fakoly (1968) is a reggae singer from Odienné, Côte d’Ivoire (a.k.a Ivory Coast).

Tiken Jah was born into a family of griots and christened Doumbia Moussa Fakoly on June 23, 1968 in Odienne, north-western Côte d'Ivoire. He discovered reggae at an early age, assembling his first group, Djelys, in 1987. He became well-known at a regional level, but would soon ascend to national recognition.

Concerned by the social and political evolution of his country <a href=""https://www.last.fm/music/Tiken+Jah+Fakoly"">Read more on Last.fm</a>"
Horace Andy,333736,3482801,"Horace Andy, or Horace Hinds ( ⋆ 19 Feb 1951 in  Kingston, Jamaica) is legendary reggae  artist and roots reggae singer and songwriter. He is also Rastafarian. His first single, ""This is a Black Man's Country,"" was released 1967 Andy is one of the most respected and influential singers in Jamaica, known for his distinctive falsetto vocal style and songs as Skylarking, Government Land, Angel, Five Man Army and for his work with English Massive Attack. <a href=""https://www.last.fm/music/Horace+Andy"">Read more on Last.fm</a>"
É O Tchan,155229,1399536,"É o Tchan! (not to be confused with the ghettotech producer/DJ ""tchan"") is a popular axé music group from Salvador, Brasil.

Originally called Gera Samba, they exploded onto the scene with their hit single 'Segura o Tchan'. Their first album, called É o Tchan (1995), sold into triple platinum.

After legal problems, the name of the band changed from Gera Samba to É o Tchan and with this name, they released the album 'Na Cabeça e na Cintura' [In the Head and In the Waist]. <a href=""https://www.last.fm/music/+noredirect/%C3%89+O+Tchan"">Read more on Last.fm</a>"
Betagarri,33289,468056,"Betagarri is a basque skaband from Vitoria-Gasteiz. Their sound seems to be a mix of ska, reggae and rock but are also influenced by latin and punk. Most texts are written and sung in basque language and largely deal with social- and globalisation critical issues. 

Betagarri consists of eight musicans who are Iñaki Ortiz de Villalba (voice), Aitor Ruiz de Arbulo (guitar) and Pablo Rodríguez (bass) who are the only remaining founder members from 1992 and Iker Uriarte (drumset) <a href=""https://www.last.fm/music/Betagarri"">Read more on Last.fm</a>"
Roots Manuva,577416,9077382,"Roots Manuva, born Rodney Smith is a British hip-hop artist, who mixes hip hop with reggae and dub as well as electronica, and even some gospel. He grew up around Stockwell in South London. His parents were from a small village in Jamaica called Banana Hole where his father was a preacher and tailor. Spending much of his early years in poverty, this and his strict Pentecostal upbringing clearly had an influence on his music as can be seen in many of his tracks such as ""Sinny Sin Sins"" and ""Colossal Insight"". <a href=""https://www.last.fm/music/Roots+Manuva"">Read more on Last.fm</a>"
T.O.K,38205,306700,biografia no encontrada
Manu Chao,1944347,60004067,"Manu Chao, born José-Manuel Thomas Arthur Chao on June 21, 1961, in Paris, France, is a multifaceted musician celebrated for his eclectic musical style and socially conscious lyrics. Chao's musical journey began in the vibrant Parisian music scene, where he immersed himself in diverse influences ranging from punk and rock to reggae and salsa. Co-founding the band Mano Negra in 1987, Chao showcased his knack for blending genres, resulting in international acclaim with albums like ""Patchanka"" (1988) and ""Casa Babylon"" (1994). <a href=""https://www.last.fm/music/Manu+Chao"">Read more on Last.fm</a>"
Buju Banton,479270,4657207,"Buju Banton (born Mark Myrie 1973) is a Jamaican dancehall, ragga, and reggae singer. He was born in a slum near Kingston, Jamaica called Salt Lane. ""Buju"" is a nickname  which is of  Breadfruit. The name is ironic in light of Mark Myrie's slim frame and large head, but it is, nevertheless, the nickname his mother gave him as a child. ""Banton"" is a Jamaican word referring to someone with a superior attitude and a gift with speech, but it was also the name of a local artist Burro Banton that Buju admired as a child. <a href=""https://www.last.fm/music/Buju+Banton"">Read more on Last.fm</a>"
Sidney Crooks,2019,4394,biografia no encontrada
Freddie Notes,8907,24122,biografia no encontrada
SOJA,306135,8265307,"Lead singers Jacob Hemphill (vocals, guitar) and Bob Jefferson (bass) met in first grade in Virginia, shortly after Jacob had returned from living in Africa with his family. The two instantly became best friends, and in middle school found a common love for hip hop and rock music. Throughout middle and high school, they met Patrick O’Shea (keyboards), Ryan Berty (drums), and Ken Brownell (percussion) – who would later form SOJA. During this period, reggae music was becoming an addiction for the budding musicians. <a href=""https://www.last.fm/music/SOJA"">Read more on Last.fm</a>"
No Doubt,3450848,80437878,"Formed in 1986 in Anaheim, California, United States as a ska punk band inspired by Madness, the lineup of No Doubt initially comprised John Spence as lead vocal, Gwen Stefani on back-up vocals, and her brother Eric Stefani on keyboards. While playing the party-band circuit around Anaheim, the trio picked up bassist Tony Kanal. Hardened by the suicide of Spence in December 1987, No Doubt nevertheless continued; Gwen became the lone vocalist and the group added guitarist Tom Dumont and drummer Adrian Young. <a href=""https://www.last.fm/music/No+Doubt"">Read more on Last.fm</a>"
Prince Buster,198199,1819335,"Prince Buster (Cecil Bustamente Campbell, 24 May 1938 - 8 September 2016) was a Jamaican singer, songwriter and producer. He is regarded as one of the most important figures in the history of ska and rocksteady music. The records he released in the 1960s influenced and shaped the course of Jamaican contemporary music and created a legacy of work that later reggae and ska artists would draw upon.

Born Cecil Bustamente Campbell on Orange Street in Kingston <a href=""https://www.last.fm/music/Prince+Buster"">Read more on Last.fm</a>"
Anthony B,338608,3326855,"Anthony B is the stage name of Keith Blair (born March 31, 1976), a Jamaican musician.

Blair grew up in rural Clarks Town in the northwestern parish of Trelawny. His deeply religious family life (his mother was a Seventh-day Adventist and his grandmother a Revivalist) imbued him with a profound spirituality. During his youth, his favorite singers were reggae legends Bob Marley, Peter Tosh, and Bunny Wailer, musicians who strongly influenced his own style. <a href=""https://www.last.fm/music/Anthony+B"">Read more on Last.fm</a>"
Bandits of the Acoustic Revolution,132841,1561601,"Bandits of the Acoustic Revolution (commonly abbreviated BOTAR) is an acoustic band started by Tomas Kalnoky. Often viewed as a precursor to Streetlight Manifesto, BOTAR is recognized as something of a side-project. 2001 marked the release of their only recording to date, ""A Call To Arms"". With 5 songs, including an updated version of Catch 22's ""Dear Sergio"", and the future Streetlight Manifesto song ""Here's To Life"", this collection marked something of a transition for Kalnoky. <a href=""https://www.last.fm/music/Bandits+of+the+Acoustic+Revolution"">Read more on Last.fm</a>"
Ernest Ranglin,148504,1443806,"Ernest Ranglin (born June 19, 1932) is a famous Jamaican guitarist.

As a child, Ranglin played ukulele, then guitar in his teen years. Charlie Christian was an early influence. Ranglin played on many classic recordings, with Jimmy Cliff, Monty Alexander, Prince Buster, The Skatalites, and others. Ranglin toured extensively with the Eric Deans Orchestra, one of the top bands in the Caribbean.

In 1958, Chris Blackwell recorded a Ranglin single; it was the first Island Records release. <a href=""https://www.last.fm/music/Ernest+Ranglin"">Read more on Last.fm</a>"
Errol Dunkley,79663,391115,"Errol Dunkley is a Jamaican reggae singer, born in Kingston in 1951. Dunkley's recording career began in 1965, when he was fourteen, with ""Gypsy"" (a duet with Roy Shirley) for Lindel Pottinger's Gaydisc label, ""My Queen"" (with Junior English) for Prince Buster, and ""Love Me Forever"" on the Rio label [1]. Between 1967 and 1968 he recorded several singles for Joe Gibbs including ""Please Stop Your Lying"" (1967) and ""Love Brother"" (1968), before switching to Coxsone Dodd in 1969.[2] <a href=""https://www.last.fm/music/Errol+Dunkley"">Read more on Last.fm</a>"
Lutan Fyah,177704,1512394,""" ... Rastafari livity means to tolerate and to live side by side with those of other faiths no matter which race, no matter which class. The purpose of Haile Selassie is to see that we become one in unity and love ... and that is my purpose."" Lutan Fyah 

Much, much more than a deejay, much more than a singer and more than a chanter too Lutan Fyah also plays guitar, keyboards and the kette drum. He holds strong beliefs in originality at all times and so he is a songwriter too and <a href=""https://www.last.fm/music/Lutan+Fyah"">Read more on Last.fm</a>"
Terra Samba,60215,356094,"Terra Samba is a brazilian Sambareggae group from Salvador da Bahia. In 1998 they quickly captured the hearts of the brazilian people with their mega hit ""Liberar Geral"". Typical for their music is its brazilian and carribean rhythm. A few more famous songs include ""Deus é Brasileiro"", ""Na Manteiga"", ""Banho De Chuveiro"" and ""Carrinho De Mão"".

The band consists of members Mário Ornellas and Edson Souza, both former percussionists of the popular band Gerasamba. <a href=""https://www.last.fm/music/Terra+Samba"">Read more on Last.fm</a>"
Skaparapid,8363,145296,"A ska band from Spain. Female lead voice and happy tunes that make everyone want to dance are the main points of Skaparapid.
www.skaparapid.net <a href=""https://www.last.fm/music/Skaparapid"">Read more on Last.fm</a>"
The Heptones,275758,2129136,"Leroy Sibbles, Earl Morgan and Barry Llewelyn first came together as ""The Hep Ones"" in 1965 in Kingston, Jamaica but they soon changed their name to ""The Heptones"".
They recorded for the major Jamaican producers at the time, including Coxsone Dodd of Studio One fame. The Heptones had a number of Jamaican hits for Studio One, including ""Pretty Looks Isn't All"", ""Fattie Fattie"" and ""I Hold the Handle."" They went on to record with Joe Gibbs, Harry J (Harry Johnson), and Rupie Edwards. <a href=""https://www.last.fm/music/The+Heptones"">Read more on Last.fm</a>"
Winston McAnuff,23168,181033,"The son of a preacher, Winston was born in 1957, in the hills of Manchester parish, near Christiana, in Jamaica. His parents were very fond of music and it was only natural for him to sing in church. After his father died in 1971, Winston left his native home and moved to Kingston, where his sister was a teacher. In this new city environment, he became friend with Hugh Mundell, Earl Sixteen and Wayne Wade. Because he was sure of their talent, he went with them to their first auditions and even wrote some of their first songs <a href=""https://www.last.fm/music/Winston+McAnuff"">Read more on Last.fm</a>"
Morodo,59383,1502634,"Morodo is a reggae or ragga singer from Madrid,Spain. He started in the music more influenced by Hip Hop but as time passes his style has changed an now he can be considered as reggae music.

He has two official discs named OZMLStyle and Cosas que contarte.

In his tours he has a backing band from Barcelona called Ranking Soldiers. <a href=""https://www.last.fm/music/Morodo"">Read more on Last.fm</a>"
Kevin Lyttle,364961,2087606,"Kevin Lyttle (born Lescott Kevin Lyttle Coombs, on 14 September 1976) is a soca artist hailing from Saint Vincent, who had a worldwide hit with the interpellative soca ballad, ""Turn Me On"" which was recorded by Lyttle and the ragga soca artist Spragga Benz. The song was originally done by the rhythm and a blues group

Lyttle recorded ""Turn Me On"" in Saint Vincent and the Grenadines in 2001. His strong live performances of soca influenced by hip hop and r&b made the song a hit throughout the Caribbean. <a href=""https://www.last.fm/music/Kevin+Lyttle"">Read more on Last.fm</a>"
Holy Piby,7174,42981,"Holy Piby was born in Buenos Aires and is playing modern reggae since 2003, the band is formed by 11 musicians that fusion reggae, rock, funk and dub. Their influences are black roots: Funk, Soul, Reggae, Hip Hop. (Steel Pulse, Ziggy Marley, Ben Harper, James Brown, Third World ).
 <a href=""https://www.last.fm/music/Holy+Piby"">Read more on Last.fm</a>"
Ben Harper,1549483,30769891,"Ben Harper (born in Pomona, CA, on 28 October 1969) is an American  Grammy-winning singer and songwriter. As well as solo albums, he has recorded as Ben Harper and Tom Freund, Ben Harper & The Innocent Criminals, Ben Harper And The Blind Boys Of Alabama, Ben Harper and Relentless7, Ben Harper & Charlie Musselwhite, and Ben & Ellen Harper. 

Harper grew up listening to blues, folk, soul, RnB, and reggae. Harper's blend of groove-laden funky soul and <a href=""https://www.last.fm/music/Ben+Harper"">Read more on Last.fm</a>"
Sean Paul,2967435,44847275,"Sean Paul Ryan Francis Henriques (born January 9, 1973 in Kingston, Jamaica) is a Grammy Award winning reggae and dancehall singer and rapper. He released his debut solo album, Stage One, in 2000 and followed this in 2002 with Dutty Rock, which won the 2004 Grammy Award for best reggae album and generated four top twenty Billboard Hot 100 hits, including #1 'Get Busy'. His new cd, Tomahawk Technique, was released in February 2012 and has generated another hit ""She Doesn't Mind"". <a href=""https://www.last.fm/music/Sean+Paul"">Read more on Last.fm</a>"
Judge Dread,95706,963553,"Alexander Minto Hughes (2 May 1945 - 12 March 1998), better known as Judge Dread, was a reggae and ska artist from England.

Born in Kent, Judge Dread was the first White British recording artist to get a reggae hit in Jamaica. He got his stage name from a Prince Buster song, and his first hits were inspired by Prince Buster's single, ""Big Five"".

The Guinness Book of World Records credits Judge Dread for having the most banned songs of all time. Many of his lyrics have sexual connotations <a href=""https://www.last.fm/music/Judge+Dread"">Read more on Last.fm</a>"
Mr. Vegas,258006,1661240,"He catapulted to the top of the Jamaican charts in 1997 with the dancehall boomshots ""Heads High"" and ""Nike Air"", his distinctive vocals fusing melodious singing with precision deejaying (rapping). Since then he has built an international fan base with hit singles like ""Pull Up"", ""Tamale"" and ""Hot Gal Today"" but it is on his latest CD ""Constant Spring"" that Mr. Vegas' spectacular sing-jay approach and cleverly crafted lyrics dazzle with the intensity of an evening in, well, Las Vegas. <a href=""https://www.last.fm/music/Mr.+Vegas"">Read more on Last.fm</a>"
Ziggy Marley,724106,6607658,"David Nesta ""Ziggy"" Marley (born October 17, 1968 in Saint Ann Parish, ghetto of Trenchtown, Jamaica), composer, singer and guitarist, is a multiple Grammy-winning (reggae) Jamaican musician. He is known for songs like ""Tomorrow People"", ""Love Is My Religion"" and ""A Lifetime"", He is the oldest son in the marriage between the singer Rita Anderson (Marley) and late legendary reggae Bob Marley. David's father Bob nicknamed him ""Ziggy"". A ziggy is a big marijuana spliff  on Jamaiaca. <a href=""https://www.last.fm/music/Ziggy+Marley"">Read more on Last.fm</a>"
Aquasky Vs Masterblaster,3725,21131,biografia no encontrada
Lynn Taitt,15089,49733,"Lynn Taitt (22 June 1934 – 20 January 2010) was a guitarist born in San Fernando, Trinidad and Tobago, closely associated with Jamaican rocksteady music.

Born Nerlynn Taitt, in San Fernando, Trinidad, he got his start as a musician playing in local steel drum bands, before taking up the guitar aged 14. He formed his own band, which was booked by Byron Lee to perform at the 1962 independence celebrations in Jamaica. Taitt decided to stay in Jamaica <a href=""https://www.last.fm/music/Lynn+Taitt"">Read more on Last.fm</a>"
Patrice,389653,7690345,"Patrice (Patrice Bart-Williams) is an Afro-German reggae artist. His music is influenced by Jimi Hendrix and Bob Marley.
Effortlessly combining folk, reggae, soul and blues, the singer/songwriter/guitarist , Patrice, exploded onto the music scene with his phenomenal testimonial debut Lions E.P in 1999 aged just 18. With the deep lyrical content and social conscience resonating within his work, Patrice alludes to his late father (a Sierra Leonian political activist and poet) and Bob Marley as the greatest influences on his music. <a href=""https://www.last.fm/music/Patrice"">Read more on Last.fm</a>"
Dr. Calypso,20483,215234,"Dr. Calypso és un grup barceloní d'ska fundat el 1989.

Després de grabar sa primera maqueta al 1990, han editat quatre àlbums d'estudi, un doble CD en directe i dos recopilatoris. Early Years (2004) està dedicat als seus primers anys, i en ell es troba sa maqueta, per primera vegada disponible en CD. The Best of Dr. Calypso (Groover, 2004) és un recopilatori exclusiu per a sa distribució a Europa.

Són molt coneguts dins del circuit de música jamaicana internacional <a href=""https://www.last.fm/music/Dr.+Calypso"">Read more on Last.fm</a>"
Keith & Tex,66591,303890,"The duo Texas Dixon (b. 1948, Kingston, Jamaica, West Indies) and Keith Rowe (b. 22 October 1950, Kingston, Jamaica, West Indies) recorded for Derrick Harriott in the late 60s. Rowe recorded solo and then emigrated to USA, while Dixon moved to Canada.
 
   *  Don't Look Back, 1968
    * Let Me Be The One, 1968
    * Lonely Man, 1968
    * Stop That Train, 1967
    * This Is My Song, 1968
    * Tonight, 1967
 <a href=""https://www.last.fm/music/Keith+&+Tex"">Read more on Last.fm</a>"
Joe Budden,575488,6125699,"Joe Budden (born August 31, 1980 in Spanish Harlem, New York) is a rapper from Jersey City, New Jersey. In recent years he has come to prominence as one of the most skilled and sought-for rappers in the game, despite his best work being on the internet mixtape circuit. 

His music initially gained popularity on New York City's famous mixtape circuit in 2002. Although his biggest mainstream hit to-date is 2003's up-tempo ""Pump It Up,"" Budden is known for his reflective and often insecure lyrics. <a href=""https://www.last.fm/music/Joe+Budden"">Read more on Last.fm</a>"
Los Auténticos Decadentes,246091,4609288,"Los Auténticos Decadentes (Spanish for ""The Authentic Decadents"") is an Argentine band that mixes ska with Latin American rhythms. The band was formed around 1986 by Cucho and Nito, who invited Gastón to join them.

Their first hit was Veni Raquel, which set the tone for their later lyrics' irreverence and ironic humor. Many of their songs are classic anthems of Argentinian nightlife, such as Corazón, Loco (Tu Forma de Ser), Entregá el Marrón, La Guitarra, Los Piratas, and El Murguero. <a href=""https://www.last.fm/music/+noredirect/Los+Aut%C3%A9nticos+Decadentes"">Read more on Last.fm</a>"
La Gran Orquesta Republicana,6000,132592,"La Gran Orquesta Republicana was a ska-fusion band from Mallorca (Spain) formed in 1997 and split up in 2008. <a href=""https://www.last.fm/music/La+Gran+Orquesta+Republicana"">Read more on Last.fm</a>"
Edi Fitzroy,4690,20709,"Fitzroy Edwards (17 November 1955 – 4 March 2017), better known by his stage name Edi Fitzroy, was a Jamaican reggae singer, active from 1975 but best known for his work in the dancehall era.

Edwards was born in Chapelton, Clarendon Parish, Jamaica and attended Chapelton All-Age and Clarendon College. He was exposed to music from an early age via his father Vasco Edwards' sound system. After studying at the West Indies Commercial Institute, he <a href=""https://www.last.fm/music/Edi+Fitzroy"">Read more on Last.fm</a>"
Twinset,14873,90133,"Twinset (formerly known as The Spider Men) hooked up at the start of their second year at the then Wellington Polytechnic Conservatorium of Music in 1996. Their first gig was at a warehouse party along with various Goth bands who splattered themselves in blood – needless to say, they were in suits & ties.

Since then this fine trio have been a regular live feature in Wellington, going under a variety of names (Los Tigres Del Norte, Moose Head etc) until Leon Matterhorn had the honour of eventually naming them Twinset. <a href=""https://www.last.fm/music/Twinset"">Read more on Last.fm</a>"
Chimarruts,190186,2854306,"Chimarruts is a Brazilian reggae band from Porto Alegre. <a href=""https://www.last.fm/music/Chimarruts"">Read more on Last.fm</a>"
Tchakabum,154534,733266,biografia no encontrada
Resistencia Suburbana,24045,346870,"Nacen en 1993, en la localidad de San Martín, Provincia de Buenos Aires, Argentina. Resistencia Suburbana es una banda de reggae contestatario que manifiesta con elocuencia la realidad, la lucha, el descontento popular y que tira por la ventana uno de los tópicos más comunes del género: No problem. Al cual ellos mismos transforman en ""Sí problem"". Autodefinidos como una banda luchadora y con mucha energía, se convirtieron en una de las agrupaciones más representativas y con mayor proyección de la escena del reggae argentino. <a href=""https://www.last.fm/music/Resistencia+Suburbana"">Read more on Last.fm</a>"
Mad Caddies,393796,12533936,"The Mad Caddies are a ska punk band from Goleta/Santa Barbara/Solvang, USA. The band formed in 1995 and has released five full-length albums, one live album, and two EP's. Their sound has influences from a wide range of genres, including ska, punk, hardcore, swing, reggae and jazz.

Founding members Chuck Robertson, Sascha Lazor, Todd Rosenberg, Carter Benson and James Malis started the group in high school but the band's membership has changed frequently since its inception. <a href=""https://www.last.fm/music/Mad+Caddies"">Read more on Last.fm</a>"
The Toasters,221968,3365070,"The Toasters came out of the lower east side of Manhattan, New York in 1981. Cutting their teeth at legendary punk rock clubs such as CBGBs,  the band has proceeded  on to defy gravity and  industry skeptics alike by staying true to their original 2-Tone roots and earning their rightful place in the history of international ska music, particularly influential on ska punk.

In their role as consummate outsiders, the band has turned down major record deals and have opted instead to run down their own track where <a href=""https://www.last.fm/music/The+Toasters"">Read more on Last.fm</a>"
Andy and Joey,2999,10684,biografia no encontrada
Bob Andy,120779,642544,"Bob Andy CD (born Keith Anderson in Kingston, Jamaica, on 28 October 1944; died 27 March 2020) was a Jamaican reggae musician widely regarded as one of reggae's most influential songwriters. As well as solo recordings, he was a founding member of The Paragons and was in Bob & Marcia.

He emerged as a solo star in 1966 with the smash hit ""I've Got to Go Back Home"", a song which has become a much-loved anthem for Jamaicans. He had served his singing and songwriting apprenticeship with the legendary vocal group THE PARAGONS <a href=""https://www.last.fm/music/Bob+Andy"">Read more on Last.fm</a>"
Dakidarria,4835,80417,biografia no encontrada
UB40,1399592,18116845,"UB40 is an English reggae and pop band, formed in December 1978 in Birmingham, England. The band has had more than 50 singles in the UK Singles Chart and has also achieved considerable international success. They have been nominated for the Grammy Award for Best Reggae Album four times and were nominated for the Brit Award for Best British Group in 1984. UB40 have sold more than 70 million records worldwide. The ethnic make-up of the band's original line-up was diverse <a href=""https://www.last.fm/music/UB40"">Read more on Last.fm</a>"
Banda Kebradeira,521,812,biografia no encontrada
Streetlight Manifesto,497704,28252122,"Streetlight Manifesto is a post-third wave ska punk band from New Brunswick, New Jersey, under the creative leadership of singer/guitarist Tomas Kalnoky. Since forming in 2002, the band has released four full-length albums.

Several of Streetlight's members were already well known among the New Jersey ska community for their roles in past ska bands from that area, most notably Catch 22's Tomas Kalnoky, James Egan, Mike Soprano, and Josh Ansley, as well as One Cool Guy's Stuart Karmatz, Pete Sibilia, Dan Ross, and Chris Paszik.  <a href=""https://www.last.fm/music/Streetlight+Manifesto"">Read more on Last.fm</a>"
Lennie Hibbert,23091,105088,"Leonard Aloysius Hibbert, popularly known as ""Lennie"", popularized the Vibes in Jamaica. He was born in Mavis Bank, Jamaica on November 12, 1928. His interest in music started at the early age of 2 when he devised a little drum from an empty pan. Later at the age of six the local Salvation Army allowed him to play on their drums. At the age of eight years he went to Alpha Boy's School and after some time joined the school band where he was placed on his 'old love', the drums. <a href=""https://www.last.fm/music/Lennie+Hibbert"">Read more on Last.fm</a>"
panteon rococo,107693,2340132,biografia no encontrada
Salon Victoria,32367,451760,biografia no encontrada
Glen Adams,26224,112553,"Glen Adams (b. Glenroy Phillip Adams, 1950) is a Jamaican musician, composer, arranger, engineer, producer, based since the mid-1970s in Brooklyn, New York.

Adams' first break in the music business came as a teenager when he appeared as a singer on Radio Jamaica's Opportunity Knocks show hosted by Vere Johns, and he began performing in Kingston and St. Andrews at weekends. He made his first record, ""Wonderthirst"", in 1960 for Coxsone Dodd at Federal Recording Studio, the title of the song becoming his nickname. <a href=""https://www.last.fm/music/Glen+Adams"">Read more on Last.fm</a>"
